State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Cumulative Average
Connecticut,5.5861,67.6578,47.4668,7.9141,47.0483,44.3662,49.908,46.2526,48.2417,46.8758,50.0021,47.3943,42.25304234551705
Maine,37.0254,27.7734,57.6265,26.0998,55.9715,48.452,23.0187,41.7899,42.5411,42.0936,44.8545,44.7487,40.95197254394894
Massachusetts,39.8279,41.1357,38.7099,41.2978,39.5469,37.7184,41.6429,39.8982,38.9847,39.9021,43.5126,37.6867,39.994580489902596
New Hampshire,32.8709,37.6716,31.6487,32.6496,34.9105,32.2753,36.3977,30.6338,30.0307,30.3721,31.2556,33.6849,32.886818425822085
New York,55.5547,58.55,56.1518,57.2702,57.7211,54.3802,58.8335,56.8988,56.3175,56.4457,58.7961,29.2748,54.71383384100547
Rhode Island,64.6988,26.6052,47.9462,44.8045,45.5075,47.281,44.4494,49.1739,46.6471,47.267,43.8981,48.1328,46.38284992348482
Vermont,49.5724,50.0109,50.6465,49.1939,49.8513,49.9495,49.4722,51.2452,48.391,49.7829,50.2859,50.4741,49.905395006599825
"Indian Township, ME",52.5,59.2113,63.3014,62.3378,60.2754,56.4744,58.52,58.1714,62.7826,62.8841,51.5833,54.9437,58.49483352468427
"Pleasant Point, ME",63.3544,98.3375,17.225,57.7089,48.4521,68.2647,50.8356,61.5325,13.52,75.8955,77.3836,65.0676,57.906458797327396
"Seneca Nation, NY",42.5966,41.7984,39.1415,38.6692,42.5826,33.2941,32.7965,44.7355,34.6311,35.6518,35.4375,35.9911,38.179432624113474
Delaware,40.8527,43.6173,39.765,60.4313,16.2284,36.5057,60.0062,20.2507,59.6759,2.0267,57.0519,16.0973,37.85043856661444
District of Columbia,46.3429,47.0331,71.7875,20.5671,46.1154,40.5545,48.6166,43.1827,45.1013,43.4768,25.8781,63.7728,45.18417149145892
Maryland,45.1212,46.7889,43.2401,42.4551,44.7808,40.3942,43.1229,41.5193,42.4738,41.3292,45.4017,39.9439,43.05221863062004
New Jersey,53.044,54.2036,54.45,54.5352,53.7248,51.4769,55.3945,53.7525,52.4609,52.8693,54.8918,50.9568,53.47884853087909
Pennsylvania,31.6482,-2.1817,28.77,89.2269,29.7831,46.59,45.3787,49.4719,44.1894,46.7611,48.9153,68.019,43.94228450095538
Puerto Rico,89.2698,90.0545,92.3276,85.4329,88.3081,88.9934,89.5809,87.6131,91.2302,88.747,88.9636,87.2111,88.97592178138981
Virginia,36.4096,50.9988,14.8101,32.2463,32.8939,30.1018,33.9491,32.5161,31.8359,34.9211,33.6037,9.8364,31.211545491079637
Virgin Islands,85.6023,88.1121,86.8939,84.0223,87.3141,84.0112,86.0896,72.1303,87.82,93.8043,80.7114,80.683,84.76460959516697
West Virginia,65.0725,26.6759,42.526,44.9406,44.3161,40.7375,45.5938,42.187,65.3236,63.7685,1.6137,25.7644,42.33000371753221
Alabama,50.7529,51.9956,46.5358,46.38,44.8683,41.3079,46.4395,46.3731,45.2835,46.0301,46.811,45.915,46.585045257630966
Florida,43.5604,46.6042,42.2758,46.567,45.5496,40.9791,46.1679,44.528,43.2271,44.7733,47.2572,43.8148,44.61652095479818
Georgia,52.1911,52.7781,48.8457,49.6945,46.3392,42.0271,45.5126,42.3251,41.315,40.7981,44.1428,38.9459,45.470287911814
Kentucky,39.962,39.7975,39.2758,41.0902,38.573,38.1825,57.5731,21.1199,38.9882,39.1126,39.6267,39.8251,39.424393231905995
Mississippi,49.4727,54.0957,51.6526,57.092,47.2196,57.9248,51.7109,53.5251,51.3481,56.5278,58.5329,60.6858,54.14712728860289
North Carolina,32.8954,52.7696,55.1031,24.7649,46.5838,38.2536,47.5377,42.0235,44.7237,42.4951,47.5119,45.1637,43.293356769339596
South Carolina,48.5402,46.5839,46.3559,48.7535,44.3286,43.5504,46.375,45.8565,45.3404,45.6396,46.3087,47.3469,46.26372929358488
Tennessee,41.4979,42.5483,41.8343,42.4267,42.1588,40.3157,41.1362,41.577,42.368,41.7449,42.7745,43.3714,41.98440394498597
"Choctaw Indians, MS",42.4247,47.439,45.0161,44.7209,41.5358,38.8535,45.0934,44.071,38.2854,36.357,42.5409,45.0715,42.65497690046199
"Eastern Cherokee, NC",34.8928,44.2647,49.1772,24.0031,46.9309,33.8779,46.9591,36.9645,33.3808,35.814,42.8331,30.8254,38.27098732840549
Illinois,55.5256,55.1286,41.945,52.0695,46.8924,49.0489,56.8103,53.3355,52.2664,32.5995,41.5464,39.9336,48.16322756487109
Indiana,37.7918,38.8388,36.2451,39.2532,38.0085,33.4461,39.5157,36.893,37.0256,35.7641,39.1453,35.0845,37.26165716360331
Michigan,23.6309,41.7026,43.1212,42.1294,41.0577,41.2127,41.2437,43.8234,61.3717,22.2758,42.0732,42.3168,40.460794482518
Minnesota,54.9713,29.838,61.0022,51.9075,33.7963,48.1855,65.6198,39.1985,28.0504,38.6419,41.4365,66.267,46.56786204334994
Ohio,33.6909,41.1667,55.8548,17.1805,35.9021,32.5136,32.939,34.829,34.1696,36.6449,38.938,35.5916,35.77754952988132
Wisconsin,43.1619,44.8456,60.8577,27.5961,43.2485,41.0147,44.4509,43.4401,42.4631,43.1257,44.8116,41.1747,43.33315533130719
Arkansas,46.1652,44.4066,40.808,43.6526,42.0086,48.5853,46.4058,46.5926,42.7493,43.1103,43.8342,70.9878,46.51407657135007
Louisiana,70.343,32.9166,49.7967,51.4661,47.7713,51.5051,50.6242,51.02,48.8282,49.6164,49.9613,48.2782,50.175462618693516
New Mexico,17.4388,35.9866,54.0067,35.8375,34.4838,15.1639,53.437,17.7127,53.1955,16.5231,35.8174,52.7694,35.151845051218004
Oklahoma,38.1894,40.7121,39.9504,37.7455,39.5989,41.7521,39.835,38.7669,36.6791,38.6834,41.2575,44.4776,39.800330964485674
Texas,,,,,,,,,,,,, 
Texas,31.7101,29.4751,10.3986,30.4722,28.9986,25.8839,29.7301,30.7958,27.1946,29.6185,10.9496,32.1121,26.463500012695373
"Acoma, Canoncito & Laguna, NM",32.8845,35.2941,56.558,63.6158,36.1402,40.2143,42.8148,48.0669,39.5604,47.5485,47.1725,41.3386,44.35173474619723
"Eight Northern Pueblos, NM",56.9685,58.9231,57.7258,59.1144,56.9958,59.9034,59.5388,60.6786,56.327,58.9954,58.1784,54.6495,58.189756816507
"Five Sandoval Pueblos, NM",41.0405,40.4606,44.9406,46.9836,45.9613,46.7152,45.1656,44.4247,45.9072,46.6438,52.2872,53.011,45.99916828389243
