State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Cumulative Cost
Connecticut,311675.0,3723346.0,2540136.0,438463.0,2475119.0,2333308.0,2678312.0,2542091.0,2602496.0,2563732.0,2724562.0,2572561.0,27505801
Maine,929634.0,670784.0,1384822.0,641767.0,1367552.0,1183489.0,561082.0,1021345.0,1027794.0,997535.0,1063635.0,1059067.0,11908506
Massachusetts,4860558.0,4957507.0,4585802.0,5000377.0,4698175.0,4481695.0,4961374.0,4789617.0,4593960.0,4797352.0,5270947.0,4571995.0,57569359
New Hampshire,533791.0,615479.0,495429.0,523601.0,540449.0,500267.0,567513.0,482788.0,462323.0,469006.0,482742.0,514234.0,6187622
New York,28919717.0,30207094.0,28437767.0,29483293.0,29642985.0,27908564.0,30404404.0,29434759.0,28943361.0,28846816.0,29888584.0,14819965.0,336937309
Rhode Island,1570239.0,638338.0,1115757.0,1065361.0,1061827.0,1105903.0,1038028.0,1151801.0,1081326.0,1083217.0,1002281.0,1119039.0,13033117
Vermont,762572.0,764516.0,761824.0,735744.0,743482.0,740202.0,728280.0,750845.0,706944.0,724391.0,731961.0,734146.0,8884907
"Indian Township, ME",4200.0,4204.0,4621.0,4613.0,4159.0,4405.0,4389.0,4072.0,4332.0,4339.0,3714.0,3901.0,50949
"Pleasant Point, ME",5005.0,7867.0,1378.0,4559.0,3537.0,4642.0,3711.0,4738.0,1014.0,5085.0,5649.0,4815.0,52000
"Seneca Nation, NY",5069.0,5392.0,4149.0,5027.0,4897.0,3962.0,3706.0,5413.0,4225.0,3993.0,3969.0,4031.0,53833
Delaware,893531.0,932974.0,838843.0,1282291.0,336302.0,742708.0,1237027.0,411068.0,1228010.0,41290.0,1171788.0,330237.0,9446069
District of Columbia,736621.0,749990.0,1107178.0,318338.0,710269.0,622228.0,764836.0,684446.0,706015.0,685282.0,411152.0,1002381.0,8498736
Maryland,6596946.0,6800387.0,6154411.0,6165546.0,6475793.0,5773825.0,6185124.0,5992931.0,6144426.0,5987603.0,6613886.0,5827539.0,74718417
New Jersey,9027132.0,9018020.0,8902786.0,9268474.0,8948880.0,8591296.0,9325388.0,9130670.0,8832062.0,8841066.0,9248991.0,8596771.0,107731536
Pennsylvania,7989691.0,-550874.0,7174291.0,22471535.0,7495415.0,11677213.0,11445052.0,12587524.0,11230641.0,11926883.0,12588998.0,17508496.0,133544865
Puerto Rico,17263170.0,17151236.0,17021327.0,16098033.0,16817658.0,16793676.0,16975042.0,16602509.0,17079299.0,16396461.0,16433886.0,15936781.0,200569078
Virginia,5801320.0,8046947.0,2279842.0,5037999.0,5075104.0,4652684.0,5253856.0,5072519.0,4949239.0,5439905.0,5252184.0,1542194.0,58403793
Virgin Islands,441879.0,448050.0,425085.0,407172.0,425307.0,406026.0,419859.0,356468.0,427508.0,463018.0,398795.0,403899.0,5023066
West Virginia,3096540.0,1246645.0,1926129.0,2106184.0,2036193.0,1880931.0,2091797.0,1954566.0,2990515.0,2956883.0,75809.0,1208043.0,23570235
Alabama,7269038.0,7348175.0,6394346.0,6516762.0,6144448.0,5658445.0,6331980.0,6432969.0,6253561.0,6401778.0,6546757.0,6405876.0,77704135
Florida,21953575.0,22870973.0,20181135.0,22570145.0,21769127.0,19384440.0,21982151.0,21313660.0,20737060.0,21628073.0,23085609.0,21423729.0,258899677
Georgia,15838758.0,15652194.0,14156083.0,14531573.0,13240512.0,11931741.0,12912390.0,12095322.0,11803198.0,11726394.0,12813278.0,11275660.0,157977103
Kentucky,5289972.0,5201130.0,5047170.0,5346088.0,4982472.0,4951350.0,7434936.0,2736589.0,5048742.0,5077013.0,5174338.0,5175983.0,61465783
Mississippi,4721277.0,5077097.0,4511083.0,5304819.0,4237346.0,5159998.0,4648496.0,4853767.0,4587901.0,5114576.0,5345459.0,5474469.0,59036288
North Carolina,8920038.0,14185103.0,14485456.0,6593020.0,12249396.0,9994137.0,12403168.0,11012479.0,11682446.0,11130100.0,12569504.0,11992668.0,137217515
South Carolina,6335563.0,5997726.0,5806303.0,6181164.0,5521662.0,5375336.0,5718224.0,5656543.0,5548712.0,5547448.0,5615815.0,5695358.0,68999854
Tennessee,6897572.0,6949874.0,6680485.0,6800243.0,6670499.0,6313840.0,6418278.0,6521189.0,6658558.0,6591353.0,6854437.0,6964539.0,80320867
"Choctaw Indians, MS",34364.0,36955.0,33627.0,34927.0,30778.0,30228.0,36706.0,37240.0,31126.0,27086.0,35394.0,37815.0,406246
"Eastern Cherokee, NC",21808.0,27931.0,29703.0,15530.0,30552.0,22190.0,29866.0,23953.0,20863.0,21954.0,26171.0,19420.0,289941
Illinois,15867107.0,15522712.0,11566830.0,14813710.0,13202930.0,13863519.0,15980794.0,15099279.0,14686293.0,9031780.0,11469461.0,10991769.0,162096184
Indiana,6208287.0,6327893.0,5734911.0,6347313.0,5989725.0,5236322.0,6199582.0,5849198.0,5861862.0,5684017.0,6285451.0,5605243.0,71329804
Michigan,6104046.0,10681869.0,10883674.0,10679035.0,10268949.0,10312454.0,10372837.0,11113435.0,15573059.0,5696477.0,10807810.0,10891831.0,123385476
Minnesota,7012192.0,3770804.0,7556346.0,6528300.0,4169111.0,5902044.0,8035736.0,4857316.0,3489024.0,4833874.0,5210728.0,8343541.0,69709016
Ohio,9244515.0,11167328.0,14736672.0,4583216.0,9472868.0,8474119.0,8624054.0,9096860.0,8893980.0,9538569.0,10155447.0,9219730.0,113207358
Wisconsin,5110331.0,5237473.0,6902359.0,3184948.0,4882536.0,4578755.0,4996589.0,4907646.0,4766226.0,4870053.0,5076037.0,4643434.0,59156387
Arkansas,4322584.0,4087583.0,3643952.0,3970120.0,3713514.0,4307333.0,4162554.0,4233168.0,3870822.0,3859059.0,3862184.0,6077765.0,50110638
Louisiana,9925260.0,4647231.0,6884836.0,7139525.0,6646995.0,7137377.0,7041627.0,7139075.0,6847869.0,6905654.0,7047984.0,6844641.0,84208074
New Mexico,1043100.0,2130765.0,3123101.0,2140643.0,1984646.0,863734.0,3088442.0,1027196.0,3047515.0,957498.0,2089085.0,3047012.0,24542737
Oklahoma,3651666.0,3836300.0,3682110.0,3523508.0,3562949.0,3788212.0,3562483.0,3414554.0,3207034.0,3418491.0,3683261.0,3961446.0,43292014
Texas,,,,,,,,,,,,, 
Texas,31191301.0,28764733.0,9959409.0,29473134.0,27792976.0,24549175.0,28098078.0,29152286.0,25665203.0,27981246.0,10348838.0,30318275.0,303294654
"Acoma, Canoncito & Laguna, NM",15653.0,18000.0,27770.0,32126.0,17781.0,19142.0,19652.0,22976.0,18000.0,23061.0,24341.0,21000.0,259502
"Eight Northern Pueblos, NM",12647.0,13788.0,14316.0,13951.0,13622.0,14257.0,13039.0,13592.0,11885.0,12743.0,12392.0,11695.0,157927
"Five Sandoval Pueblos, NM",13174.0,12826.0,13617.0,14283.0,14248.0,14108.0,14182.0,12972.0,13359.0,13620.0,15111.0,14419.0,165919
"Isleta Pueblo, NM",36199.0,39309.0,40973.0,42445.0,39845.0,43456.0,42821.0,43703.0,45163.0,49000.0,49318.0,45990.0,518222
"San Felipe Pueblo, NM",15708.0,14643.0,15603.0,13638.0,24246.0,16503.0,15589.0,14116.0,19060.0,13208.0,22377.0,19481.0,204172
"Santo Domingo Tribe, NM",15339.0,15704.0,16144.0,15463.0,15699.0,14150.0,12391.0,13261.0,13987.0,15626.0,16501.0,25960.0,190225
"Zuni Pueblo, NM",45154.0,40442.0,43453.0,40525.0,41981.0,34361.0,41838.0,39982.0,40444.0,39033.0,39502.0,38884.0,485599
"Cherokee Nation, OK",292344.0,303862.0,306168.0,331532.0,230163.0,279818.0,309911.0,357717.0,560534.0,491165.0,45168.0,339027.0,3847409
"Chickasaw Nation, OK",53019.0,136796.0,129728.0,149788.0,142078.0,172999.0,86806.0,152872.0,138608.0,139390.0,137029.0,145881.0,1584994
"Choctaw Nation, OK",177336.0,181097.0,162419.0,161842.0,153033.0,138949.0,150784.0,151512.0,157578.0,146588.0,171392.0,58691.0,1811221
"Citizen Potawatomi Nation, OK",46362.0,47868.0,44406.0,56241.0,47019.0,58827.0,55143.0,57500.0,51646.0,61209.0,54252.0,54292.0,634765
"Inter-Tribal Council, OK",49580.0,45313.0,46733.0,51602.0,43986.0,48878.0,46091.0,43875.0,48753.0,49318.0,53328.0,53875.0,581332
"Muscogee Creek Nation, OK",126234.0,136549.0,134319.0,172936.0,130457.0,173063.0,84774.0,133656.0,131709.0,133201.0,135504.0,133786.0,1626188
"Osage Tribal Council, OK",155365.0,208104.0,98433.0,228330.0,80791.0,196021.0,126145.0,73180.0,161669.0,213919.0,121211.0,88466.0,1751634
