State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Average Participation
Connecticut,961.0,1011.0,964.0,1019.0,984.0,1033.0,1039.0,1075.0,1047.0,1052.0,994.0,926.0,1008.75
Maine,1104.0,1079.0,1072.0,1099.0,1049.0,1056.0,1040.0,1012.0,1020.0,992.0,1001.0,1037.0,1046.75
Massachusetts,3655.0,3538.0,3383.0,3584.0,3488.0,3523.0,3511.0,3447.0,3356.0,3434.0,3478.0,3524.0,3493.4166666666665
New Hampshire,667.0,668.0,612.0,641.0,614.0,603.0,626.0,665.0,663.0,680.0,703.0,675.0,651.4166666666666
New York,9172.0,9092.0,8915.0,9017.0,9012.0,8981.0,9134.0,9219.0,9084.0,8983.0,9069.0,8881.0,9046.583333333334
Rhode Island,483.0,456.0,436.0,433.0,433.0,439.0,443.0,443.0,437.0,431.0,431.0,460.0,443.75
Vermont,781.0,753.0,758.0,750.0,776.0,726.0,722.0,707.0,724.0,734.0,722.0,748.0,741.75
"Indian Township, ME",6.0,6.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,2.0,1.0,4.083333333333333
"Pleasant Point, ME",0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.75
"Seneca Nation, NY",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,1.0,1.0,0.5454545454545454
Delaware,330.0,346.0,324.0,351.0,363.0,356.0,346.0,314.0,321.0,329.0,327.0,332.0,336.5833333333333
District of Columbia,356.0,361.0,349.0,354.0,350.0,348.0,358.0,354.0,352.0,343.0,341.0,344.0,350.8333333333333
Maryland,3839.0,3859.0,3700.0,3877.0,3903.0,3828.0,3858.0,3905.0,3837.0,3806.0,3800.0,3769.0,3831.75
New Jersey,4063.0,4055.0,4029.0,4242.0,4246.0,4220.0,4333.0,4437.0,4413.0,4361.0,4520.0,4408.0,4277.25
Pennsylvania,8901.0,8987.0,8832.0,8955.0,8898.0,8898.0,8888.0,9023.0,8914.0,9048.0,10299.0,11518.0,9263.416666666666
Puerto Rico,4090.0,4029.0,3892.0,3867.0,3933.0,3851.0,3898.0,3960.0,3959.0,3899.0,4051.0,4062.0,3957.5833333333335
Virginia,3485.0,3462.0,3301.0,3384.0,3389.0,3391.0,3476.0,3548.0,3530.0,3611.0,3643.0,3640.0,3488.3333333333335
Virgin Islands,73.0,69.0,64.0,58.0,63.0,56.0,58.0,65.0,63.0,72.0,71.0,66.0,64.83333333333333
West Virginia,1273.0,1283.0,1245.0,1235.0,1195.0,1225.0,1215.0,1209.0,1201.0,1176.0,1206.0,1209.0,1222.6666666666667
Alabama,1817.0,1844.0,1882.0,1864.0,1906.0,1890.0,1889.0,1823.0,1842.0,1861.0,1921.0,1994.0,1877.75
Florida,14715.0,14406.0,13849.0,14248.0,14053.0,14047.0,14045.0,14137.0,14074.0,14260.0,14497.0,14657.0,14249.0
Georgia,4766.0,4561.0,4374.0,4667.0,4666.0,4746.0,4850.0,4860.0,4887.0,5080.0,5289.0,5378.0,4843.666666666667
Kentucky,3593.0,3628.0,3599.0,3633.0,3605.0,3467.0,3396.0,3372.0,3290.0,3318.0,3328.0,3305.0,3461.1666666666665
Mississippi,707.0,668.0,630.0,657.0,664.0,684.0,691.0,689.0,682.0,683.0,666.0,657.0,673.1666666666666
North Carolina,6517.0,6591.0,6465.0,6519.0,6611.0,6649.0,6700.0,6586.0,6518.0,6597.0,6754.0,6847.0,6612.833333333333
South Carolina,2541.0,2441.0,2333.0,2446.0,2451.0,2499.0,2502.0,2504.0,2447.0,2463.0,2466.0,2454.0,2462.25
Tennessee,3829.0,3820.0,3676.0,3716.0,3735.0,3766.0,3780.0,3770.0,3793.0,3798.0,3889.0,3879.0,3787.5833333333335
"Choctaw Indians, MS",2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
"Eastern Cherokee, NC",20.0,22.0,20.0,19.0,20.0,20.0,20.0,22.0,21.0,20.0,18.0,26.0,20.666666666666668
Illinois,5539.0,5498.0,5449.0,5616.0,5815.0,5749.0,5654.0,5857.0,5795.0,5807.0,5864.0,5904.0,5712.25
Indiana,3453.0,3456.0,3396.0,3522.0,3535.0,3582.0,3598.0,3560.0,3597.0,3659.0,3741.0,3723.0,3568.5
Michigan,7636.0,7526.0,7345.0,7467.0,7353.0,7620.0,7660.0,7804.0,7774.0,7887.0,7932.0,8045.0,7670.75
Minnesota,4264.0,4245.0,4191.0,4307.0,4324.0,4348.0,4359.0,4362.0,4371.0,4355.0,4410.0,4403.0,4328.25
Ohio,6489.0,6393.0,6117.0,6248.0,6186.0,6276.0,6567.0,6762.0,6802.0,6910.0,6053.0,5948.0,6395.916666666667
Wisconsin,3695.0,3583.0,3496.0,3529.0,3461.0,3399.0,3347.0,3266.0,3267.0,3306.0,3338.0,3305.0,3416.0
Arkansas,1964.0,1966.0,1933.0,2022.0,2029.0,2094.0,2134.0,2135.0,2142.0,2107.0,2088.0,2049.0,2055.25
Louisiana,1499.0,1462.0,1443.0,1428.0,1464.0,1446.0,1460.0,1488.0,1477.0,1480.0,1494.0,1474.0,1467.9166666666667
New Mexico,2488.0,2488.0,2461.0,2558.0,2562.0,2512.0,2519.0,2538.0,2498.0,2524.0,2525.0,2558.0,2519.25
Oklahoma,2865.0,2752.0,2642.0,2733.0,2634.0,2641.0,2640.0,2585.0,2555.0,2611.0,2720.0,2800.0,2681.5
Texas,,,,,,,,,,,,,0.0
Texas,21497.0,21035.0,20031.0,20414.0,20124.0,20147.0,20248.0,20182.0,19888.0,20111.0,20314.0,20288.0,20356.583333333332
"Acoma, Canoncito & Laguna, NM",24.0,26.0,26.0,30.0,29.0,29.0,30.0,30.0,28.0,28.0,31.0,34.0,28.75
"Eight Northern Pueblos, NM",10.0,10.0,9.0,10.0,8.0,6.0,8.0,8.0,10.0,7.0,8.0,7.0,8.416666666666666
"Five Sandoval Pueblos, NM",11.0,11.0,13.0,11.0,12.0,15.0,18.0,14.0,14.0,15.0,19.0,15.0,14.0
"Isleta Pueblo, NM",47.0,40.0,33.0,45.0,48.0,56.0,53.0,57.0,50.0,52.0,37.0,42.0,46.666666666666664
"San Felipe Pueblo, NM",17.0,16.0,18.0,25.0,28.0,27.0,29.0,13.0,29.0,28.0,27.0,23.0,23.333333333333332
"Santo Domingo Tribe, NM",13.0,17.0,18.0,14.0,12.0,15.0,16.0,10.0,12.0,12.0,10.0,11.0,13.333333333333334
"Zuni Pueblo, NM",56.0,60.0,61.0,60.0,56.0,60.0,59.0,52.0,55.0,54.0,54.0,57.0,57.0
"Cherokee Nation, OK",141.0,139.0,126.0,133.0,143.0,145.0,146.0,149.0,154.0,170.0,160.0,150.0,146.33333333333334
"Chickasaw Nation, OK",150.0,137.0,140.0,142.0,148.0,144.0,142.0,141.0,139.0,149.0,153.0,158.0,145.25
"Choctaw Nation, OK",92.0,95.0,70.0,70.0,70.0,66.0,71.0,86.0,82.0,84.0,76.0,70.0,77.66666666666667
"Citizen Potawatomi Nation, OK",30.0,34.0,36.0,31.0,36.0,30.0,35.0,34.0,33.0,36.0,35.0,43.0,34.416666666666664
"Inter-Tribal Council, OK",20.0,22.0,19.0,17.0,22.0,17.0,18.0,25.0,24.0,19.0,17.0,19.0,19.916666666666668
"Muscogee Creek Nation, OK",58.0,63.0,75.0,72.0,73.0,70.0,77.0,81.0,81.0,83.0,82.0,81.0,74.66666666666667
"Osage Tribal Council, OK",62.0,84.0,81.0,90.0,89.0,97.0,92.0,85.0,75.0,75.0,71.0,65.0,80.5
"Otoe-Missouria Tribe, OK",15.0,15.0,15.0,13.0,15.0,13.0,15.0,13.0,14.0,13.0,11.0,13.0,13.75
"Wichita, Caddo & Delaware (WCD), OK",118.0,111.0,104.0,119.0,117.0,114.0,118.0,127.0,128.0,133.0,138.0,141.0,122.33333333333333
Colorado,4218.0,4227.0,4033.0,4079.0,4084.0,4058.0,4055.0,4111.0,4101.0,4057.0,4152.0,4246.0,4118.416666666667
Iowa,2030.0,1999.0,1985.0,1989.0,2075.0,2106.0,2127.0,2080.0,2106.0,2053.0,2078.0,2114.0,2061.8333333333335
Kansas,2458.0,2426.0,2364.0,2448.0,2261.0,2327.0,2352.0,2329.0,2247.0,2276.0,2225.0,2270.0,2331.9166666666665
