State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Average Participation
Connecticut,9933.0,9932.0,9727.0,9976.0,9636.0,9649.0,9724.0,9845.0,9577.0,9741.0,9515.0,9345.0,9716.666666666666
Maine,4175.0,3793.0,3791.0,3897.0,3938.0,3965.0,3921.0,3920.0,3877.0,3809.0,3789.0,3745.0,3885.0
Massachusetts,17995.0,18051.0,17995.0,18138.0,17977.0,17896.0,17903.0,18062.0,17873.0,17801.0,17741.0,17624.0,17921.333333333332
New Hampshire,3063.0,3111.0,3023.0,3133.0,3010.0,3032.0,3038.0,3073.0,2977.0,3048.0,3024.0,2949.0,3040.0833333333335
New York,67455.0,67393.0,66876.0,67777.0,67616.0,67406.0,67760.0,67572.0,67150.0,66891.0,66001.0,65699.0,67133.0
Rhode Island,4546.0,4556.0,4524.0,4617.0,4532.0,4561.0,4518.0,4545.0,4449.0,4442.0,4406.0,4374.0,4505.833333333333
Vermont,1711.0,1709.0,1720.0,1741.0,1749.0,1724.0,1728.0,1670.0,1689.0,1682.0,1674.0,1651.0,1704.0
"Indian Township, ME",21.0,18.0,18.0,19.0,18.0,16.0,15.0,14.0,13.0,13.0,10.0,7.0,15.166666666666666
"Pleasant Point, ME",14.0,15.0,15.0,13.0,14.0,15.0,11.0,8.0,7.0,11.0,9.0,19.0,12.583333333333334
"Seneca Nation, NY",47.0,48.0,38.0,44.0,40.0,36.0,35.0,38.0,33.0,32.0,31.0,33.0,37.916666666666664
Delaware,4643.0,4608.0,4608.0,4605.0,4496.0,4477.0,4589.0,4500.0,4508.0,4310.0,4315.0,4260.0,4493.25
District of Columbia,3229.0,3210.0,3098.0,3101.0,3134.0,3150.0,3169.0,3205.0,3175.0,3185.0,3190.0,3177.0,3168.5833333333335
Maryland,23192.0,23291.0,22896.0,23065.0,23049.0,22899.0,23073.0,23212.0,23048.0,23104.0,23084.0,22872.0,23065.416666666668
New Jersey,23174.0,23312.0,22903.0,23676.0,23320.0,23319.0,23474.0,23619.0,23244.0,23090.0,23087.0,22962.0,23265.0
Pennsylvania,52533.0,52410.0,52034.0,52801.0,52461.0,52221.0,52250.0,51932.0,51099.0,51391.0,53932.0,55653.0,52559.75
Puerto Rico,30364.0,29687.0,28660.0,29485.0,29381.0,28745.0,28954.0,29046.0,28755.0,28345.0,28415.0,28166.0,29000.25
Virginia,30463.0,30441.0,29728.0,30066.0,29863.0,29932.0,29917.0,29902.0,29681.0,29536.0,29433.0,29331.0,29857.75
Virgin Islands,419.0,404.0,390.0,388.0,367.0,369.0,404.0,398.0,397.0,405.0,389.0,390.0,393.3333333333333
West Virginia,9679.0,9675.0,9483.0,9868.0,9718.0,9826.0,9829.0,9973.0,9901.0,10015.0,10060.0,10016.0,9836.916666666666
Alabama,30212.0,30077.0,29419.0,29763.0,29106.0,29187.0,29447.0,29764.0,29323.0,29511.0,29487.0,29315.0,29550.916666666668
Florida,81925.0,81285.0,80192.0,81274.0,80785.0,80278.0,80939.0,81413.0,81200.0,81058.0,81043.0,80164.0,80963.0
Georgia,53560.0,52738.0,50953.0,53639.0,52989.0,52971.0,53393.0,53122.0,52701.0,51827.0,51795.0,51572.0,52605.0
Kentucky,27213.0,26695.0,26399.0,26885.0,26417.0,26743.0,26881.0,26928.0,26822.0,26975.0,27086.0,26761.0,26817.083333333332
Mississippi,23943.0,23936.0,22996.0,23792.0,23506.0,23616.0,23827.0,24498.0,24159.0,24394.0,24548.0,24246.0,23955.083333333332
