State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Cumulative Cost
Connecticut,3412474.0,0.0,1104559.0,3342548.0,1046928.0,1246957.0,963293.0,1152788.0,1042858.0,1166196.0,970073.0,1177603.0,16626277
Maine,512211.0,730103.0,,807304.0,17873.0,253058.0,866300.0,419675.0,385074.0,386734.0,328695.0,408117.0,5115144
Massachusetts,2251870.0,2001109.0,2356289.0,2132514.0,2087679.0,2452632.0,1985715.0,2211461.0,2226636.0,2312459.0,1870551.0,2488307.0,26377222
New Hampshire,296931.0,214233.0,312100.0,307554.0,244067.0,285986.0,226612.0,326186.0,319410.0,325135.0,306315.0,263996.0,3428525
New York,9690782.0,8410948.0,9727785.0,9672216.0,9070529.0,10418205.0,8569026.0,9476671.0,10031097.0,9819649.0,8657110.0,10339982.0,113884000
Rhode Island,17315.0,933404.0,416575.0,518899.0,448835.0,432707.0,525952.0,404555.0,462680.0,475560.0,530837.0,425403.0,5592722
Vermont,,,,,,,,,,80.0,,,80
"Indian Township, ME",,,,,,,,,,,,, 
"Pleasant Point, ME",,,,,,,,,,,,, 
"Seneca Nation, NY",4217.0,3926.0,3142.0,3672.0,3601.0,3276.0,3122.0,2975.0,2980.0,2647.0,3024.0,2738.0,39320
Delaware,416323.0,376432.0,430141.0,0.0,882320.0,473871.0,22853.0,837697.0,39558.0,1196601.0,91356.0,920941.0,5688093
District of Columbia,388446.0,369567.0,0.0,791679.0,366024.0,454440.0,340543.0,434182.0,392821.0,422132.0,701755.0,95740.0,4757329
Maryland,2580914.0,2361326.0,2914470.0,2762032.0,2556366.0,2905147.0,2705719.0,2830798.0,2933460.0,2847091.0,2468156.0,3094191.0,32959670
New Jersey,2671413.0,2589807.0,2655545.0,2847816.0,2688026.0,3210548.0,2642696.0,2981622.0,3045870.0,3034312.0,2617847.0,3201147.0,34186649
Pennsylvania,0.0,16862646.0,8513975.0,87344.0,8386474.0,4602674.0,4531690.0,4317238.0,4576424.0,4640068.0,4328242.0,58310.0,60905085
Puerto Rico,1682747.0,1499499.0,1381572.0,1817484.0,1653371.0,1659179.0,1709063.0,1781927.0,1407470.0,1652813.0,1528174.0,1341404.0,19114703
Virginia,2897359.0,31738.0,5706998.0,3050701.0,2757861.0,3254835.0,2693798.0,2941379.0,2948152.0,3109795.0,2721587.0,5946982.0,38061185
Virgin Islands,80227.0,75280.0,75101.0,86272.0,80885.0,91275.0,81146.0,151190.0,66549.0,18250.0,83526.0,71059.0,960760
West Virginia,0.0,1749493.0,1057913.0,943122.0,904341.0,1057531.0,890640.0,991924.0,0.0,0.0,2919632.0,1801608.0,12316204
Alabama,2371760.0,2194300.0,2924250.0,3008586.0,2777640.0,3247812.0,2669321.0,2832244.0,2940318.0,3054691.0,2690871.0,3000930.0,33712723
Florida,7938935.0,6805212.0,9008090.0,7235060.0,7437611.0,9461383.0,7225782.0,8323544.0,9095309.0,8374485.0,7363902.0,9338070.0,97607383
Georgia,4186327.0,3612077.0,4452983.0,3903815.0,4144781.0,5110914.0,4202781.0,5159008.0,5360074.0,5534967.0,4829281.0,6224585.0,56721593
Kentucky,2209627.0,2151364.0,2303599.0,2185101.0,2257434.0,2479404.0,0.0,4782031.0,2430012.0,2474197.0,2387595.0,2478259.0,28138623
Mississippi,,,,,,,,,,,,, 
North Carolina,7719917.0,2423839.0,1847660.0,10252652.0,4694042.0,6171856.0,4193448.0,5511109.0,4908448.0,5482436.0,4129065.0,5940269.0,63274741
South Carolina,2349717.0,2326889.0,2429215.0,2385695.0,2515657.0,2608177.0,2499899.0,2511062.0,2512978.0,2563650.0,2470311.0,2515546.0,29688796
Tennessee,3350846.0,3250477.0,3384172.0,3349914.0,3280051.0,3539815.0,3463081.0,3400479.0,3310217.0,3347367.0,3226256.0,3192500.0,40095175
"Choctaw Indians, MS",,,,,,,,,,,,, 
"Eastern Cherokee, NC",14929.0,6882.0,3801.0,21682.0,7419.0,15169.0,8283.0,13403.0,13792.0,11619.0,7560.0,14030.0,138569
Illinois,5879045.0,5187752.0,7491618.0,5733274.0,5540200.0,6543321.0,5836196.0,6497805.0,5680385.0,7133000.0,5640399.0,6988279.0,74151274
Indiana,3339615.0,2838345.0,3405477.0,3130666.0,2895817.0,3699871.0,2961301.0,3311561.0,3252114.0,3484104.0,3003962.0,3423621.0,38746454
Michigan,9787507.0,5026551.0,4830399.0,5114475.0,4871925.0,5048465.0,5081993.0,4462116.0,0.0,10139516.0,5048174.0,4838371.0,64249492
Minnesota,0.0,4226642.0,0.0,2475504.0,4566790.0,208024.0,271247.0,7027976.0,2407604.0,2618829.0,2207057.0,2486922.0,28496595
Ohio,6025099.0,3999024.0,166424.0,10544885.0,5026464.0,5951207.0,5257959.0,5204424.0,6022502.0,5450417.0,4846337.0,5695239.0,64189981
Wisconsin,1960042.0,1744146.0,0.0,3892505.0,1829972.0,2149631.0,1843416.0,1998052.0,2071680.0,2050073.0,1812422.0,2195963.0,23547902
Arkansas,2126946.0,1812955.0,2222865.0,2038862.0,2000205.0,2416200.0,1937059.0,2161348.0,2235665.0,2260065.0,1912938.0,,23125108
Louisiana,231687.0,5521389.0,3175053.0,3159022.0,3337844.0,2732483.0,3123116.0,3127603.0,3411083.0,3431877.0,3337796.0,3552137.0,38141090
New Mexico,2083904.0,962213.0,0.0,1057969.0,1030621.0,2177406.0,0.0,2069089.0,0.0,2128913.0,993121.0,0.0,12503236
Oklahoma,1715596.0,1421605.0,1493166.0,1814568.0,1473077.0,1411726.0,1638421.0,1743915.0,1869712.0,1775668.0,1553073.0,1533644.0,19444171
Texas,,,,,,,,,,,,, 
Texas,16574017.0,17695998.0,35765148.0,18151154.0,18196062.0,20125986.0,18261735.0,17941413.0,19033568.0,18057763.0,35786379.0,18818948.0,254408171
"Acoma, Canoncito & Laguna, NM",,,,,,,,,,,,, 
"Eight Northern Pueblos, NM",,,,,,,,,,,,, 
"Five Sandoval Pueblos, NM",2109.0,1756.0,1295.0,2247.0,2408.0,2080.0,2404.0,2069.0,1837.0,1701.0,2019.0,1919.0,23844
"Isleta Pueblo, NM",4667.0,4364.0,4466.0,5068.0,5754.0,5760.0,5713.0,6820.0,6707.0,6600.0,7175.0,9509.0,72603
"San Felipe Pueblo, NM",,,,,,,,,,,,, 
"Santo Domingo Tribe, NM",,,,,,,,,,,,, 
"Zuni Pueblo, NM",3727.0,3657.0,3270.0,4029.0,3104.0,3651.0,3857.0,4175.0,3460.0,3735.0,3335.0,2567.0,42567
"Cherokee Nation, OK",154005.0,138372.0,159190.0,147052.0,143693.0,182304.0,131635.0,144262.0,0.0,0.0,450231.0,167086.0,1817830
"Chickasaw Nation, OK",155821.0,60549.0,63448.0,61666.0,57766.0,0.0,129136.0,61165.0,71627.0,73365.0,68072.0,71590.0,874205
"Choctaw Nation, OK",93282.0,79119.0,96822.0,98490.0,95647.0,110786.0,91192.0,100439.0,95479.0,106863.0,91675.0,192547.0,1252341
"Citizen Potawatomi Nation, OK",22644.0,16672.0,19545.0,15111.0,21524.0,14524.0,19448.0,17562.0,24662.0,18736.0,23743.0,24267.0,238438
"Inter-Tribal Council, OK",5649.0,10675.0,5273.0,5554.0,5028.0,0.0,6206.0,9999.0,5057.0,6834.0,5391.0,6445.0,72111
"Muscogee Creek Nation, OK",44543.0,34984.0,27355.0,11427.0,39804.0,0.0,95845.0,45993.0,47610.0,51102.0,42324.0,52990.0,493977
"Osage Tribal Council, OK",0.0,,,,,,,,,,,, 
"Otoe-Missouria Tribe, OK",9678.0,9924.0,0.0,0.0,8556.0,9873.0,21375.0,9873.0,6952.0,11010.0,8510.0,9747.0,105498
"Wichita, Caddo & Delaware (WCD), OK",69386.0,56228.0,66198.0,57906.0,55612.0,80207.0,64766.0,71162.0,74034.0,77213.0,66166.0,77280.0,816158
Colorado,1550872.0,1497267.0,1582115.0,1553884.0,1539084.0,1704452.0,1636462.0,1659379.0,1657270.0,0.0,1645613.0,3249924.0,19276322
Iowa,1258448.0,1219309.0,1541375.0,1369391.0,1360782.0,1186024.0,1250708.0,1387803.0,1440356.0,1418673.0,1291456.0,2825467.0,17549792
Kansas,0.0,2613311.0,1564577.0,1313001.0,1343416.0,1582555.0,1242070.0,1419026.0,1391416.0,1508047.0,1260232.0,2732498.0,17970149
Missouri,6078549.0,2638425.0,3170506.0,2893694.0,2826865.0,3237963.0,2614697.0,2919884.0,2967198.0,3052463.0,2669119.0,0.0,35069363
Montana,0.0,308843.0,663024.0,329609.0,318481.0,351229.0,302474.0,337359.0,347395.0,333105.0,335790.0,324121.0,3951430
Nebraska,714941.0,646773.0,780273.0,686339.0,682649.0,770092.0,635230.0,712377.0,736773.0,708868.0,657387.0,790436.0,8522138
North Dakota,166268.0,162292.0,168007.0,167898.0,168673.0,0.0,189837.0,185208.0,351784.0,180919.0,150919.0,185643.0,2077448
South Dakota,325885.0,301308.0,333293.0,312067.0,302952.0,330180.0,300076.0,0.0,511504.0,327036.0,393504.0,342096.0,3779901
Utah,833246.0,900276.0,893392.0,953295.0,948309.0,978749.0,937628.0,947941.0,942902.0,956868.0,902480.0,970690.0,11165776
Wyoming,349396.0,181141.0,0.0,0.0,162594.0,190257.0,556705.0,0.0,369046.0,185036.0,186187.0,196213.0,2376575
"Ute Mountain Ute Tribe, CO",,,,,,,,,,,,, 
"Omaha Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Santee Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Winnebago Tribe, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,, 
"Standing Rock Sioux Tribe, ND",5822.0,6652.0,6326.0,7401.0,6386.0,8146.0,8523.0,5240.0,6558.0,11871.0,14643.0,7170.0,94738
"Three Affiliated Tribes, ND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Cheyenne River Sioux, SD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15670.0,3916.0,19586
"Rosebud Sioux, SD",14251.0,10792.0,10374.0,19916.0,13085.0,13860.0,18056.0,8195.0,4601.0,21736.0,15737.0,14591.0,165194
"Northern Arapahoe, WY",0.0,0.0,0.0,0.0,,,,,,,,, 
"Shoshone Tribe, WY",,,,,,,,,,,,, 
Mountain Plains,11297678.0,10486389.0,10713262.0,9606495.0,9673276.0,10353507.0,9692466.0,9582412.0,10726803.0,8704622.0,9538737.0,11642765.0,122018412
Alaska,324185.0,356830.0,350630.0,696095.0,0.0,0.0,656320.0,,606899.0,334834.0,337845.0,578878.0,4242516
American Samoa,72438.0,75310.0,85099.0,78076.0,73810.0,84374.0,64721.0,84267.0,91701.0,84069.0,74967.0,88133.0,956965
Arizona,3176002.0,3109415.0,3709129.0,3417062.0,3340377.0,3815728.0,3235831.0,3414413.0,3670009.0,3604055.0,3036313.0,3943681.0,41472015
