State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Average Participation
Connecticut,1067.0,1090.0,1062.0,1100.0,1071.0,1084.0,1103.0,1122.0,1114.0,1120.0,1085.0,1045.0,1088.5833333333333
Maine,903.0,947.0,957.0,987.0,976.0,1008.0,997.0,953.0,918.0,905.0,920.0,964.0,952.9166666666666
Massachusetts,3385.0,3307.0,3180.0,3328.0,3296.0,3270.0,3253.0,3199.0,3145.0,3183.0,3222.0,3289.0,3254.75
New Hampshire,613.0,622.0,597.0,603.0,589.0,573.0,578.0,620.0,623.0,632.0,667.0,641.0,613.1666666666666
New York,10188.0,10157.0,9951.0,10141.0,10091.0,10081.0,10297.0,10327.0,10158.0,10115.0,10216.0,10085.0,10150.583333333334
Rhode Island,379.0,349.0,345.0,341.0,326.0,333.0,346.0,340.0,332.0,324.0,323.0,351.0,340.75
Vermont,902.0,905.0,855.0,852.0,858.0,832.0,823.0,826.0,826.0,821.0,835.0,840.0,847.9166666666666
"Indian Township, ME",6.0,6.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,2.0,1.0,4.083333333333333
"Pleasant Point, ME",2.0,6.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.75
"Seneca Nation, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,1.0,1.0,0.45454545454545453
Delaware,326.0,309.0,308.0,316.0,316.0,305.0,307.0,309.0,307.0,322.0,328.0,329.0,315.1666666666667
District of Columbia,388.0,394.0,401.0,394.0,386.0,374.0,377.0,398.0,390.0,398.0,391.0,373.0,388.6666666666667
Maryland,3361.0,3403.0,3313.0,3366.0,3411.0,3412.0,3383.0,3376.0,3372.0,3340.0,3301.0,3315.0,3362.75
New Jersey,4317.0,4294.0,4291.0,4414.0,4403.0,4425.0,4522.0,4636.0,4674.0,4572.0,4695.0,4605.0,4487.333333333333
Pennsylvania,9448.0,9308.0,9369.0,9376.0,9406.0,9473.0,9595.0,9470.0,10050.0,9870.0,9527.0,9043.0,9494.583333333334
Puerto Rico,3780.0,3716.0,3560.0,3557.0,3661.0,3618.0,3654.0,3729.0,3683.0,3668.0,3732.0,3728.0,3673.8333333333335
Virginia,3491.0,3480.0,3359.0,3325.0,3369.0,3413.0,3468.0,3552.0,3559.0,3542.0,3609.0,3588.0,3479.5833333333335
Virgin Islands,65.0,59.0,59.0,55.0,52.0,52.0,54.0,52.0,57.0,63.0,67.0,64.0,58.25
West Virginia,1262.0,1242.0,1223.0,1216.0,1180.0,1180.0,1216.0,1201.0,1172.0,1143.0,1171.0,1203.0,1200.75
Alabama,1492.0,1444.0,1391.0,1450.0,1401.0,1405.0,1438.0,1459.0,1446.0,1460.0,1488.0,1555.0,1452.4166666666667
Florida,14430.0,14207.0,13698.0,13943.0,13779.0,13775.0,13794.0,13920.0,13853.0,14000.0,14197.0,14308.0,13992.0
Georgia,6016.0,5931.0,5857.0,5819.0,5865.0,6042.0,6150.0,6406.0,6528.0,6693.0,6866.0,6978.0,6262.583333333333
Kentucky,2146.0,2105.0,2051.0,2069.0,2109.0,2121.0,2081.0,2074.0,2093.0,2162.0,2183.0,2234.0,2119.0
Mississippi,780.0,748.0,683.0,725.0,723.0,735.0,738.0,750.0,723.0,733.0,737.0,753.0,735.6666666666666
North Carolina,7192.0,7301.0,7139.0,7165.0,7249.0,7260.0,7315.0,7276.0,7209.0,7277.0,7463.0,7583.0,7285.75
South Carolina,2513.0,2463.0,2380.0,2406.0,2430.0,2448.0,2460.0,2427.0,2415.0,2418.0,2420.0,2417.0,2433.0833333333335
Tennessee,4018.0,4023.0,3964.0,3920.0,3966.0,3988.0,4008.0,4032.0,4081.0,4092.0,4182.0,4243.0,4043.0833333333335
"Choctaw Indians, MS",2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0833333333333335
"Eastern Cherokee, NC",20.0,22.0,20.0,19.0,20.0,20.0,20.0,22.0,21.0,20.0,18.0,26.0,20.666666666666668
Illinois,4954.0,5000.0,4981.0,5081.0,5235.0,5307.0,5268.0,5338.0,5244.0,5261.0,5326.0,5397.0,5199.333333333333
Indiana,3752.0,3713.0,3641.0,3733.0,3749.0,3833.0,3845.0,3860.0,3896.0,3998.0,4068.0,3999.0,3840.5833333333335
Michigan,6117.0,6171.0,6049.0,5979.0,6017.0,6170.0,6166.0,6289.0,6313.0,6297.0,6429.0,6477.0,6206.166666666667
Minnesota,4105.0,4062.0,3986.0,4065.0,4064.0,4018.0,4082.0,4116.0,4119.0,4154.0,4209.0,4229.0,4100.75
Ohio,5731.0,5799.0,5652.0,5675.0,5613.0,5409.0,4958.0,4606.0,4326.0,4354.0,5433.0,5434.0,5249.166666666667
Wisconsin,3834.0,3727.0,3579.0,3626.0,3572.0,3501.0,3452.0,3377.0,3368.0,3392.0,3489.0,3429.0,3528.8333333333335
Arkansas,1828.0,1790.0,1736.0,1812.0,1777.0,1850.0,1894.0,1875.0,1872.0,1856.0,1826.0,1808.0,1827.0
Louisiana,1649.0,1611.0,1586.0,1563.0,1591.0,1605.0,1590.0,1607.0,1597.0,1615.0,1625.0,1685.0,1610.3333333333333
New Mexico,2329.0,2317.0,2282.0,2415.0,2336.0,2283.0,2318.0,2342.0,2316.0,2346.0,2368.0,2348.0,2333.3333333333335
Oklahoma,2800.0,2751.0,2697.0,2758.0,2673.0,2693.0,2669.0,2639.0,2614.0,2634.0,2657.0,2696.0,2690.0833333333335
Texas,,,,,,,,,,,,,0.0
Texas,19222.0,19261.0,18814.0,18718.0,18554.0,18595.0,18682.0,18543.0,18339.0,18279.0,18408.0,18413.0,18652.333333333332
"Acoma, Canoncito & Laguna, NM",25.0,26.0,32.0,29.0,27.0,30.0,31.0,30.0,28.0,29.0,34.0,35.0,29.666666666666668
"Eight Northern Pueblos, NM",8.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,9.0,7.0,8.0,8.0,7.583333333333333
"Five Sandoval Pueblos, NM",11.0,11.0,13.0,11.0,12.0,15.0,18.0,14.0,14.0,15.0,19.0,15.0,14.0
"Isleta Pueblo, NM",47.0,51.0,49.0,61.0,59.0,55.0,56.0,57.0,50.0,50.0,37.0,45.0,51.416666666666664
"San Felipe Pueblo, NM",18.0,16.0,18.0,23.0,27.0,23.0,26.0,26.0,25.0,27.0,24.0,20.0,22.75
"Santo Domingo Tribe, NM",14.0,17.0,18.0,15.0,13.0,15.0,16.0,11.0,12.0,12.0,9.0,10.0,13.5
"Zuni Pueblo, NM",59.0,54.0,60.0,57.0,57.0,54.0,56.0,47.0,50.0,52.0,49.0,57.0,54.333333333333336
"Cherokee Nation, OK",126.0,130.0,119.0,128.0,126.0,129.0,143.0,145.0,147.0,152.0,141.0,129.0,134.58333333333334
"Chickasaw Nation, OK",143.0,126.0,127.0,135.0,129.0,123.0,128.0,123.0,123.0,125.0,138.0,143.0,130.25
"Choctaw Nation, OK",92.0,95.0,70.0,70.0,70.0,66.0,71.0,86.0,82.0,84.0,76.0,70.0,77.66666666666667
"Citizen Potawatomi Nation, OK",30.0,32.0,36.0,31.0,36.0,30.0,35.0,34.0,33.0,37.0,35.0,44.0,34.416666666666664
"Inter-Tribal Council, OK",23.0,23.0,17.0,16.0,21.0,18.0,17.0,22.0,25.0,17.0,13.0,18.0,19.166666666666668
"Muscogee Creek Nation, OK",71.0,65.0,74.0,72.0,70.0,67.0,75.0,77.0,81.0,78.0,75.0,81.0,73.83333333333333
"Osage Tribal Council, OK",68.0,97.0,92.0,92.0,85.0,84.0,80.0,79.0,65.0,62.0,56.0,56.0,76.33333333333333
"Otoe-Missouria Tribe, OK",15.0,13.0,13.0,12.0,13.0,10.0,15.0,12.0,13.0,12.0,11.0,13.0,12.666666666666666
"Wichita, Caddo & Delaware (WCD), OK",113.0,108.0,93.0,109.0,105.0,103.0,108.0,116.0,120.0,120.0,127.0,126.0,112.33333333333333
Colorado,4434.0,4430.0,4261.0,4273.0,4248.0,4279.0,4253.0,4301.0,4317.0,4292.0,4415.0,4445.0,4329.0
Iowa,1744.0,1678.0,1654.0,1703.0,1788.0,1811.0,1827.0,1802.0,1819.0,1803.0,1809.0,1853.0,1774.25
Kansas,2367.0,2354.0,2385.0,2344.0,2193.0,2269.0,2252.0,2243.0,2213.0,2175.0,2192.0,2174.0,2263.4166666666665
Missouri,4564.0,4473.0,4388.0,4434.0,4369.0,4366.0,4325.0,4300.0,4249.0,4307.0,4336.0,4202.0,4359.416666666667
Montana,990.0,1004.0,990.0,993.0,1003.0,973.0,1000.0,995.0,985.0,1003.0,1034.0,1031.0,1000.0833333333334
Nebraska,1199.0,1190.0,1136.0,1210.0,1167.0,1178.0,1194.0,1209.0,1193.0,1182.0,1199.0,1181.0,1186.5
North Dakota,441.0,444.0,405.0,401.0,404.0,385.0,396.0,421.0,384.0,378.0,394.0,384.0,403.0833333333333
South Dakota,711.0,669.0,675.0,684.0,678.0,685.0,666.0,654.0,669.0,710.0,679.0,665.0,678.75
Utah,4448.0,4480.0,4429.0,4481.0,4440.0,4480.0,4463.0,4473.0,4344.0,4273.0,4270.0,4297.0,4406.5
Wyoming,587.0,517.0,538.0,559.0,562.0,583.0,584.0,610.0,607.0,618.0,624.0,619.0,584.0
"Ute Mountain Ute Tribe, CO",8.0,6.0,6.0,7.0,7.0,11.0,12.0,11.0,10.0,10.0,10.0,8.0,8.833333333333334
"Omaha Sioux, NE",1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.9166666666666666
"Santee Sioux, NE",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
"Winnebago Tribe, NE",1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.9166666666666666
"Standing Rock Sioux Tribe, ND",14.0,12.0,10.0,8.0,6.0,7.0,8.0,6.0,6.0,5.0,8.0,6.0,8.0
"Three Affiliated Tribes, ND",2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.5833333333333335
