State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Average Participation
Connecticut,1634.0,1636.0,1620.0,1676.0,1620.0,1612.0,1622.0,1640.0,1620.0,1684.0,1625.0,1632.0,1635.0833333333333
Maine,119.0,360.0,377.0,405.0,418.0,436.0,474.0,499.0,493.0,486.0,522.0,521.0,425.8333333333333
Massachusetts,5427.0,5539.0,5611.0,5739.0,5642.0,5636.0,5585.0,5524.0,5353.0,5233.0,5307.0,5334.0,5494.166666666667
New Hampshire,230.0,228.0,212.0,205.0,220.0,219.0,214.0,244.0,228.0,230.0,232.0,241.0,225.25
New York,39937.0,40224.0,39724.0,40584.0,40109.0,39769.0,39802.0,39543.0,38841.0,38890.0,38594.0,38819.0,39569.666666666664
Rhode Island,560.0,561.0,563.0,572.0,553.0,577.0,556.0,555.0,587.0,588.0,572.0,588.0,569.3333333333334
Vermont,344.0,349.0,320.0,341.0,344.0,350.0,339.0,365.0,356.0,351.0,357.0,343.0,346.5833333333333
"Indian Township, ME",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
"Pleasant Point, ME",0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.9166666666666666
"Seneca Nation, NY",3.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.4166666666666667
Delaware,342.0,332.0,324.0,329.0,317.0,315.0,317.0,342.0,371.0,409.0,400.0,406.0,350.3333333333333
District of Columbia,935.0,944.0,916.0,912.0,923.0,891.0,874.0,878.0,844.0,884.0,882.0,900.0,898.5833333333334
Maryland,6859.0,6932.0,6915.0,7010.0,6971.0,6813.0,6762.0,6649.0,6618.0,6626.0,6730.0,6782.0,6805.583333333333
New Jersey,9799.0,9126.0,9019.0,9202.0,8800.0,8782.0,8872.0,8832.0,8650.0,8622.0,8627.0,8678.0,8917.416666666666
Pennsylvania,2726.0,2791.0,2726.0,2785.0,2883.0,2877.0,2894.0,2956.0,2942.0,2851.0,2585.0,2315.0,2777.5833333333335
Puerto Rico,4191.0,4193.0,4048.0,3954.0,3944.0,3760.0,3689.0,3655.0,3623.0,3377.0,3386.0,3391.0,3767.5833333333335
Virginia,4628.0,4711.0,4703.0,4779.0,4691.0,4633.0,4581.0,4627.0,4586.0,4636.0,4661.0,4631.0,4655.583333333333
Virgin Islands,524.0,545.0,533.0,530.0,559.0,544.0,543.0,542.0,526.0,519.0,531.0,538.0,536.1666666666666
West Virginia,462.0,523.0,474.0,479.0,454.0,471.0,466.0,477.0,450.0,454.0,467.0,468.0,470.4166666666667
Alabama,2243.0,2299.0,2199.0,2274.0,2259.0,2298.0,2266.0,2258.0,2203.0,2242.0,2281.0,2333.0,2262.9166666666665
Florida,19885.0,19635.0,19187.0,19495.0,19371.0,19009.0,18852.0,18670.0,18533.0,18840.0,19234.0,19786.0,19208.083333333332
Georgia,15055.0,14931.0,14320.0,13670.0,13535.0,13321.0,13231.0,13680.0,14007.0,14178.0,14338.0,14353.0,14051.583333333334
Kentucky,2966.0,3006.0,3015.0,2970.0,3071.0,3188.0,3244.0,3164.0,3161.0,3225.0,3323.0,3271.0,3133.6666666666665
Mississippi,1360.0,1274.0,1122.0,1220.0,1118.0,1148.0,1219.0,1057.0,976.0,1125.0,1001.0,1076.0,1141.3333333333333
North Carolina,9298.0,9514.0,9308.0,9418.0,9502.0,9460.0,9387.0,9748.0,9852.0,9898.0,10295.0,10630.0,9692.5
South Carolina,2973.0,3058.0,3173.0,3272.0,3234.0,3247.0,3349.0,3374.0,3308.0,3303.0,3393.0,3464.0,3262.3333333333335
Tennessee,4411.0,4471.0,4334.0,4359.0,4320.0,4315.0,4182.0,4203.0,4168.0,4208.0,4290.0,4392.0,4304.416666666667
"Choctaw Indians, MS",2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,2.75
"Eastern Cherokee, NC",19.0,20.0,22.0,20.0,17.0,18.0,20.0,18.0,15.0,15.0,17.0,17.0,18.166666666666668
Illinois,12180.0,12141.0,12029.0,11954.0,11692.0,11447.0,11254.0,11156.0,11125.0,11175.0,11287.0,11389.0,11569.083333333334
Indiana,2998.0,2995.0,2989.0,3081.0,2929.0,2889.0,2877.0,3054.0,3193.0,3241.0,3375.0,3267.0,3074.0
Michigan,4391.0,4393.0,4330.0,4373.0,4357.0,4324.0,4415.0,4407.0,4441.0,4508.0,4551.0,4565.0,4421.25
Minnesota,5675.0,5671.0,5647.0,5686.0,5529.0,5520.0,5478.0,5429.0,5482.0,5392.0,5459.0,5524.0,5541.0
Ohio,6838.0,6776.0,6699.0,6768.0,6708.0,6795.0,7352.0,7665.0,7856.0,7812.0,6796.0,6871.0,7078.0
Wisconsin,2286.0,2271.0,2273.0,2363.0,2325.0,2282.0,2309.0,2306.0,2263.0,2318.0,2332.0,2339.0,2305.5833333333335
Arkansas,942.0,910.0,901.0,923.0,946.0,959.0,945.0,977.0,987.0,970.0,947.0,956.0,946.9166666666666
Louisiana,1529.0,1678.0,1665.0,1635.0,1649.0,1586.0,1571.0,1498.0,1491.0,1497.0,1545.0,1618.0,1580.1666666666667
New Mexico,2435.0,2502.0,2509.0,2577.0,2457.0,2460.0,2420.0,2413.0,2377.0,2436.0,2462.0,2436.0,2457.0
Oklahoma,1830.0,1852.0,1814.0,1788.0,1729.0,1739.0,1726.0,1713.0,1705.0,1685.0,1689.0,1740.0,1750.8333333333333
Texas,,,,,,,,,,,,,0.0
Texas,85594.0,86548.0,86601.0,87045.0,87226.0,86831.0,86688.0,86373.0,86322.0,86126.0,85617.0,85384.0,86362.91666666667
"Acoma, Canoncito & Laguna, NM",24.0,24.0,20.0,21.0,23.0,22.0,23.0,22.0,18.0,21.0,22.0,21.0,21.75
"Eight Northern Pueblos, NM",7.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,4.0,5.0,4.0,4.666666666666667
