State Agency or Indian Tribal Organization,"Cumulative Cost:
 October-September"
Connecticut,12985165.0
Maine,5410654.0
Massachusetts,24329126.0
New Hampshire,4115863.0
New York,114271230.0
Rhode Island,6007105.0
Vermont,4178174.0
"Indian Township, ME",41258.0
"Pleasant Point, ME",24402.0
"Seneca Nation, NY",56230.0
Delaware,5272155.0
District of Columbia,5893292.0
Maryland,31539546.0
New Jersey,34890965.0
Pennsylvania,54410398.0
Puerto Rico,41031300.0
Virginia,34291564.0
Virgin Islands,2115701.0
West Virginia,11328773.0
Alabama,30700955.0
Florida,103108898.0
Georgia,67435533.0
Kentucky,32293916.0
Mississippi,19071576.0
North Carolina,57274006.0
South Carolina,26276125.0
Tennessee,37210159.0
"Choctaw Indians, MS",349388.0
"Eastern Cherokee, NC",369374.0
Illinois,54180341.0
Indiana,30546349.0
Michigan,56690233.0
Minnesota,30395455.0
Ohio,55169490.0
Wisconsin,27864910.0
Arkansas,19059817.0
Louisiana,27964459.0
New Mexico,13224165.0
Oklahoma,20826943.0
Texas,
Texas,181392460.0
"Acoma, Canoncito & Laguna, NM",200127.0
"Eight Northern Pueblos, NM",188167.0
"Five Sandoval Pueblos, NM",201119.0
"Isleta Pueblo, NM",384765.0
"San Felipe Pueblo, NM",175360.0
"Santo Domingo Tribe, NM",89672.0
"Zuni Pueblo, NM",302656.0
"Cherokee Nation, OK",2623785.0
"Chickasaw Nation, OK",2106529.0
"Choctaw Nation, OK",1301088.0
"Citizen Potawatomi Nation, OK",676368.0
"Inter-Tribal Council, OK",360261.0
"Muscogee Creek Nation, OK",926743.0
"Osage Tribal Council, OK",1109735.0
"Otoe-Missouria Tribe, OK",281204.0
"Wichita, Caddo & Delaware (WCD), OK",4159590.0
Colorado,22230602.0
Iowa,15063635.0
Kansas,15335787.0
Missouri,29651696.0
Montana,5456127.0
Nebraska,10229178.0
North Dakota,3539168.0
South Dakota,6385989.0
Utah,16018460.0
Wyoming,3876374.0
"Ute Mountain Ute Tribe, CO",254172.0
"Omaha Sioux, NE",172565.0
"Santee Sioux, NE",99570.0
"Winnebago Tribe, NE",124335.0
"Standing Rock Sioux Tribe, ND",965274.0
"Three Affiliated Tribes, ND",322872.0
"Cheyenne River Sioux, SD",354681.0
"Rosebud Sioux, SD",586661.0
"Northern Arapahoe, WY",325971.0
"Shoshone Tribe, WY",201881.0
Mountain Plains,131194998.0
Alaska,8475890.0
American Samoa,1730693.0
Arizona,37630767.0
California,307158473.0
Guam,2611621.0
Hawaii,10492655.0
Idaho,9230193.0
Nevada,14703208.0
Oregon,23740410.0
Washington,49524782.0
Northern Marianas,1023596.0
"Inter-Tribal Council, AZ",3218817.0
"Navajo Nation, AZ",3402962.0
"Inter-Tribal Council, NV",624267.0
