State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Average Participation
Connecticut,2975.0,2916.0,2848.0,2959.0,2854.0,2785.0,2745.0,2763.0,2791.0,2783.0,2808.0,2905.0,2844.3333333333335
Maine,1523.0,1563.0,1543.0,1557.0,1533.0,1533.0,1486.0,1474.0,1464.0,1434.0,1394.0,1430.0,1494.5
Massachusetts,6942.0,6965.0,6805.0,6948.0,6755.0,6615.0,6626.0,6575.0,6510.0,6562.0,6617.0,6788.0,6725.666666666667
New Hampshire,1208.0,1181.0,1155.0,1184.0,1140.0,1097.0,1105.0,1047.0,1032.0,1019.0,1071.0,1123.0,1113.5
New York,24455.0,24124.0,24031.0,24212.0,23506.0,23051.0,22726.0,22850.0,22593.0,22676.0,22731.0,23471.0,23368.833333333332
Rhode Island,1696.0,1632.0,1668.0,1677.0,1644.0,1673.0,1625.0,1571.0,1577.0,1583.0,1615.0,1643.0,1633.6666666666667
Vermont,792.0,797.0,765.0,758.0,722.0,696.0,690.0,713.0,707.0,720.0,730.0,750.0,736.6666666666666
"Indian Township, ME",2.0,3.0,3.0,2.0,3.0,4.0,3.0,7.0,3.0,4.0,4.0,5.0,3.5833333333333335
"Pleasant Point, ME",5.0,6.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0833333333333335
"Seneca Nation, NY",5.0,4.0,8.0,8.0,7.0,9.0,5.0,4.0,6.0,8.0,8.0,10.0,6.833333333333333
Delaware,1313.0,1535.0,1525.0,1532.0,1511.0,1457.0,1496.0,1476.0,1465.0,1454.0,1439.0,1418.0,1468.4166666666667
District of Columbia,1211.0,1175.0,1155.0,1138.0,1058.0,1064.0,1038.0,1055.0,1057.0,1066.0,1089.0,1065.0,1097.5833333333333
Maryland,8908.0,9025.0,8825.0,8840.0,8738.0,8388.0,8332.0,8304.0,8271.0,8203.0,8241.0,8554.0,8552.416666666666
New Jersey,10031.0,9757.0,9884.0,10207.0,9967.0,9880.0,9754.0,9807.0,9732.0,9767.0,9719.0,9847.0,9862.666666666666
Pennsylvania,25544.0,25611.0,25112.0,25325.0,24933.0,24463.0,24643.0,24766.0,24683.0,24891.0,24897.0,24783.0,24970.916666666668
Puerto Rico,10219.0,9890.0,10030.0,10255.0,10456.0,10330.0,9852.0,9590.0,9332.0,8993.0,9056.0,9300.0,9775.25
Virginia,13434.0,13299.0,13113.0,13218.0,12908.0,12600.0,12445.0,12138.0,12113.0,12254.0,12038.0,12593.0,12679.416666666666
Virgin Islands,129.0,123.0,125.0,128.0,134.0,138.0,138.0,140.0,153.0,151.0,130.0,119.0,134
West Virginia,4317.0,4283.0,4222.0,4224.0,4132.0,4029.0,4154.0,4227.0,4199.0,4231.0,4225.0,4360.0,4216.916666666667
Alabama,12653.0,12066.0,12638.0,13044.0,12483.0,12218.0,12164.0,12180.0,11971.0,11849.0,11774.0,12017.0,12254.75
Florida,31927.0,32706.0,33062.0,34489.0,34849.0,34648.0,34496.0,34058.0,33528.0,33038.0,33219.0,34299.0,33693.25
Georgia,27872.0,27466.0,27581.0,27483.0,26868.0,26828.0,26942.0,27346.0,27570.0,27832.0,28207.0,28444.0,27536.583333333332
Kentucky,10410.0,10462.0,10170.0,10345.0,10206.0,9991.0,9983.0,9979.0,10024.0,10103.0,10201.0,10436.0,10192.5
Mississippi,9409.0,9231.0,9590.0,9754.0,9435.0,9729.0,9774.0,9777.0,9833.0,9657.0,9865.0,10075.0,9677.416666666666
North Carolina,17757.0,17963.0,17960.0,18264.0,17840.0,17680.0,17536.0,17485.0,18036.0,18235.0,18162.0,18548.0,17955.5
South Carolina,11476.0,11587.0,11499.0,11733.0,11396.0,11242.0,11100.0,10948.0,10823.0,10704.0,10745.0,11051.0,11192
Tennessee,13535.0,13424.0,13364.0,13742.0,13536.0,13290.0,13331.0,13403.0,13194.0,13202.0,13151.0,13272.0,13370.333333333334
"Choctaw Indians, MS",31.0,28.0,19.0,28.0,20.0,21.0,27.0,26.0,25.0,24.0,24.0,24.0,24.75
"Eastern Cherokee, NC",35.0,29.0,24.0,22.0,30.0,31.0,24.0,27.0,36.0,42.0,48.0,47.0,32.916666666666664
Illinois,17512.0,17431.0,17254.0,17093.0,16783.0,16742.0,16705.0,16846.0,16695.0,16782.0,16933.0,17475.0,17020.916666666668
Indiana,16085.0,15819.0,15578.0,15661.0,15346.0,15271.0,15291.0,15229.0,15192.0,15381.0,15486.0,15618.0,15496.416666666666
Michigan,18881.0,19046.0,18281.0,18186.0,18360.0,17905.0,18033.0,18200.0,18259.0,18613.0,18702.0,18796.0,18438.5
Minnesota,8026.0,8032.0,7928.0,8043.0,7767.0,7644.0,7669.0,7651.0,7562.0,7672.0,7640.0,7711.0,7778.75
Ohio,21574.0,21832.0,21594.0,21731.0,21339.0,20894.0,20919.0,20877.0,20677.0,20511.0,20496.0,20887.0,21110.916666666668
Wisconsin,9244.0,9266.0,9140.0,9073.0,8919.0,8769.0,8773.0,8781.0,8765.0,8717.0,8881.0,9158.0,8957.166666666666
Arkansas,8829.0,8921.0,8744.0,8929.0,8842.0,8638.0,8759.0,8761.0,8741.0,8612.0,8461.0,8544.0,8731.75
Louisiana,14997.0,15006.0,15229.0,15439.0,15682.0,15421.0,15213.0,14964.0,14764.0,14319.0,14283.0,14639.0,14996.333333333334
New Mexico,3517.0,3438.0,3443.0,3608.0,3503.0,3412.0,3342.0,3295.0,3305.0,3272.0,3106.0,3288.0,3377.4166666666665
Oklahoma,6899.0,6946.0,6829.0,6993.0,6916.0,6727.0,6793.0,6698.0,6564.0,6582.0,6612.0,6851.0,6784.166666666667
Texas,,,,,,,,,,,,, 
Texas,48875.0,48891.0,48776.0,50293.0,50081.0,48556.0,48025.0,46822.0,45960.0,44935.0,44260.0,44867.0,47528.416666666664
"Acoma, Canoncito & Laguna, NM",20.0,21.0,24.0,27.0,30.0,27.0,26.0,25.0,18.0,13.0,15.0,17.0,21.916666666666668
"Eight Northern Pueblos, NM",19.0,17.0,17.0,17.0,13.0,11.0,13.0,19.0,14.0,14.0,14.0,17.0,15.416666666666666
"Five Sandoval Pueblos, NM",15.0,16.0,19.0,21.0,18.0,16.0,17.0,18.0,18.0,18.0,15.0,15.0,17.166666666666668
"Isleta Pueblo, NM",84.0,83.0,82.0,67.0,62.0,49.0,55.0,62.0,66.0,67.0,59.0,60.0,66.33333333333333
"San Felipe Pueblo, NM",11.0,11.0,8.0,7.0,8.0,13.0,10.0,16.0,17.0,14.0,14.0,17.0,12.166666666666666
"Santo Domingo Tribe, NM",12.0,10.0,7.0,7.0,7.0,7.0,6.0,7.0,10.0,9.0,8.0,6.0,8
"Zuni Pueblo, NM",11.0,16.0,12.0,20.0,21.0,27.0,23.0,20.0,21.0,24.0,22.0,23.0,20
"Cherokee Nation, OK",609.0,599.0,587.0,622.0,620.0,585.0,569.0,560.0,551.0,544.0,547.0,568.0,580.0833333333334
"Chickasaw Nation, OK",350.0,364.0,374.0,373.0,360.0,351.0,348.0,342.0,351.0,345.0,333.0,326.0,351.4166666666667
"Choctaw Nation, OK",412.0,389.0,375.0,367.0,365.0,360.0,336.0,344.0,356.0,349.0,334.0,323.0,359.1666666666667
"Citizen Potawatomi Nation, OK",141.0,121.0,132.0,138.0,125.0,108.0,107.0,107.0,106.0,107.0,115.0,128.0,119.58333333333333
"Inter-Tribal Council, OK",97.0,104.0,93.0,97.0,97.0,87.0,93.0,92.0,100.0,82.0,77.0,77.0,91.33333333333333
"Muscogee Creek Nation, OK",259.0,266.0,248.0,249.0,261.0,256.0,263.0,276.0,265.0,251.0,259.0,259.0,259.3333333333333
"Osage Tribal Council, OK",236.0,285.0,288.0,283.0,289.0,282.0,256.0,250.0,233.0,225.0,208.0,233.0,255.66666666666666
"Otoe-Missouria Tribe, OK",55.0,45.0,47.0,39.0,31.0,30.0,33.0,37.0,37.0,36.0,38.0,42.0,39.166666666666664
"Wichita, Caddo & Delaware (WCD), OK",380.0,368.0,354.0,355.0,340.0,320.0,334.0,339.0,341.0,335.0,357.0,371.0,349.5
Colorado,7734.0,7541.0,7458.0,7658.0,7411.0,7297.0,7378.0,7333.0,7342.0,7426.0,7440.0,7635.0,7471.083333333333
Iowa,6246.0,6180.0,6209.0,6316.0,5991.0,5903.0,5840.0,5720.0,5761.0,5845.0,5861.0,6108.0,5998.333333333333
Kansas,4864.0,4803.0,4656.0,4720.0,4630.0,4520.0,4542.0,4582.0,4487.0,4468.0,4498.0,4587.0,4613.083333333333
Missouri,13421.0,13297.0,13074.0,13391.0,13048.0,12697.0,12542.0,12335.0,12034.0,11827.0,11695.0,11902.0,12605.25
Montana,1305.0,1243.0,1236.0,1283.0,1211.0,1218.0,1165.0,1138.0,1133.0,1155.0,1118.0,1155.0,1196.6666666666667
Nebraska,3120.0,3031.0,2981.0,3034.0,2894.0,2820.0,2826.0,2866.0,2872.0,2977.0,2991.0,3019.0,2952.5833333333335
North Dakota,1016.0,1009.0,965.0,995.0,956.0,941.0,985.0,977.0,1002.0,1017.0,1023.0,1049.0,994.5833333333334
South Dakota,1357.0,1384.0,1382.0,1464.0,1345.0,1357.0,1167.0,1156.0,1161.0,1262.0,1362.0,1189.0,1298.8333333333333
Utah,4210.0,4108.0,4032.0,4100.0,3906.0,3846.0,3887.0,3842.0,3920.0,3920.0,3994.0,4082.0,3987.25
Wyoming,1011.0,975.0,925.0,962.0,941.0,924.0,895.0,834.0,818.0,839.0,846.0,880.0,904.1666666666666
"Ute Mountain Ute Tribe, CO",8.0,11.0,9.0,9.0,9.0,9.0,10.0,7.0,7.0,8.0,6.0,8.0,8.416666666666666
"Omaha Sioux, NE",7.0,7.0,4.0,5.0,6.0,6.0,8.0,7.0,11.0,14.0,9.0,9.0,7.75
"Santee Sioux, NE",4.0,4.0,8.0,6.0,5.0,6.0,8.0,7.0,10.0,7.0,5.0,6.0,6.333333333333333
"Winnebago Tribe, NE",10.0,6.0,5.0,5.0,11.0,10.0,11.0,13.0,12.0,13.0,12.0,17.0,10.416666666666666
"Standing Rock Sioux Tribe, ND",48.0,45.0,38.0,42.0,47.0,48.0,52.0,51.0,56.0,51.0,42.0,36.0,46.333333333333336
"Three Affiliated Tribes, ND",33.0,31.0,24.0,26.0,24.0,29.0,26.0,36.0,30.0,28.0,29.0,28.0,28.666666666666668
"Cheyenne River Sioux, SD",56.0,51.0,53.0,59.0,58.0,46.0,45.0,46.0,43.0,44.0,44.0,45.0,49.166666666666664
"Rosebud Sioux, SD",80.0,74.0,66.0,70.0,69.0,72.0,71.0,73.0,80.0,78.0,73.0,73.0,73.25
"Northern Arapahoe, WY",41.0,42.0,40.0,39.0,34.0,33.0,31.0,34.0,36.0,39.0,41.0,45.0,37.916666666666664
"Shoshone Tribe, WY",13.0,11.0,11.0,12.0,14.0,15.0,14.0,12.0,11.0,7.0,9.0,12.0,11.75
Mountain Plains,44584.0,43853.0,43176.0,44196.0,42610.0,41797.0,41503.0,41069.0,40826.0,41025.0,41098.0,41885.0,42301.833333333336
Alaska,1071.0,1026.0,966.0,984.0,934.0,915.0,894.0,900.0,865.0,911.0,865.0,893.0,935.3333333333334
American Samoa,167.0,155.0,156.0,160.0,160.0,171.0,157.0,151.0,144.0,149.0,142.0,142.0,154.5
Arizona,12291.0,12158.0,12594.0,13014.0,12498.0,12168.0,12016.0,11691.0,11493.0,11307.0,11198.0,11471.0,11991.583333333334
California,76196.0,76027.0,76026.0,79583.0,77348.0,75778.0,74377.0,72737.0,71450.0,71522.0,71061.0,72933.0,74586.5
Guam,554.0,571.0,562.0,589.0,611.0,590.0,613.0,563.0,574.0,557.0,511.0,532.0,568.9166666666666
Hawaii,1881.0,1861.0,1808.0,1844.0,1794.0,1720.0,1717.0,1644.0,1635.0,1676.0,1676.0,1729.0,1748.75
Idaho,2724.0,2673.0,2634.0,2656.0,2547.0,2458.0,2474.0,2434.0,2500.0,2550.0,2538.0,2603.0,2565.9166666666665
Nevada,5554.0,5574.0,5697.0,5798.0,5642.0,5597.0,5510.0,5446.0,5374.0,5452.0,5445.0,5603.0,5557.666666666667
Oregon,5230.0,5091.0,5014.0,5111.0,4972.0,4776.0,4742.0,4650.0,4724.0,4787.0,4819.0,4938.0,4904.5
Washington,9927.0,9647.0,9523.0,9734.0,9249.0,8936.0,8973.0,8833.0,8900.0,8884.0,8844.0,9044.0,9207.833333333334
Northern Marianas,193.0,195.0,200.0,183.0,177.0,173.0,174.0,163.0,157.0,156.0,159.0,150.0,173.33333333333334
"Inter-Tribal Council, AZ",715.0,683.0,701.0,722.0,697.0,725.0,704.0,698.0,671.0,683.0,674.0,680.0,696.0833333333334
"Navajo Nation, AZ",425.0,415.0,415.0,434.0,442.0,428.0,449.0,439.0,416.0,417.0,430.0,433.0,428.5833333333333
"Inter-Tribal Council, NV",78.0,86.0,82.0,81.0,83.0,82.0,84.0,86.0,85.0,89.0,90.0,84.0,84.16666666666667
