State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Average Participation
Connecticut,5847.0,5476.0,5274.0,5360.0,5056.0,5319.0,5500.0,5717.0,5703.0,5905.0,5754.0,5624.0,5544.583333333333
Maine,2100.0,1987.0,1927.0,1992.0,1968.0,2019.0,2000.0,2009.0,1927.0,2037.0,1991.0,1948.0,1992.0833333333333
Massachusetts,11274.0,10773.0,10242.0,10617.0,10354.0,10852.0,11141.0,11305.0,11265.0,11328.0,11091.0,11051.0,10941.083333333334
New Hampshire,1469.0,1342.0,1352.0,1397.0,1401.0,1497.0,1535.0,1587.0,1531.0,1547.0,1494.0,1433.0,1465.4166666666667
New York,45295.0,43567.0,41967.0,41780.0,41579.0,43307.0,44400.0,45745.0,46051.0,45881.0,45096.0,44473.0,44095.083333333336
Rhode Island,2419.0,2217.0,2159.0,2200.0,2166.0,2203.0,2289.0,2359.0,2317.0,2311.0,2252.0,2276.0,2264
Vermont,1173.0,1136.0,1168.0,1129.0,1177.0,1146.0,1142.0,1077.0,1084.0,1095.0,1045.0,1034.0,1117.1666666666667
"Indian Township, ME",7.0,8.0,10.0,10.0,12.0,10.0,13.0,6.0,9.0,11.0,14.0,11.0,10.083333333333334
"Pleasant Point, ME",5.0,5.0,4.0,4.0,7.0,7.0,7.0,9.0,10.0,13.0,15.0,15.0,8.416666666666666
"Seneca Nation, NY",29.0,22.0,23.0,25.0,26.0,17.0,18.0,19.0,29.0,27.0,23.0,15.0,22.75
Delaware,2370.0,2163.0,2043.0,1970.0,2020.0,2028.0,1987.0,2050.0,2102.0,2207.0,2167.0,2198.0,2108.75
District of Columbia,1451.0,1397.0,1278.0,1309.0,1271.0,1286.0,1324.0,1396.0,1470.0,1458.0,1452.0,1439.0,1377.5833333333333
Maryland,15022.0,14301.0,13658.0,13979.0,13853.0,14220.0,14687.0,14897.0,15408.0,15767.0,15548.0,15609.0,14745.75
New Jersey,14471.0,13874.0,13565.0,13630.0,13431.0,14126.0,14384.0,14689.0,14786.0,14997.0,14902.0,14710.0,14297.083333333334
Pennsylvania,18697.0,18308.0,17322.0,16993.0,16609.0,17432.0,17978.0,18119.0,17501.0,18244.0,17831.0,18213.0,17770.583333333332
Puerto Rico,17751.0,16585.0,16447.0,15850.0,16004.0,16847.0,17085.0,17193.0,17479.0,17725.0,17694.0,17272.0,16994.333333333332
Virginia,17409.0,16408.0,15543.0,15083.0,14997.0,15267.0,15321.0,15231.0,15022.0,15625.0,15721.0,15377.0,15583.666666666666
Virgin Islands,430.0,384.0,348.0,348.0,358.0,355.0,326.0,346.0,340.0,376.0,382.0,404.0,366.4166666666667
West Virginia,4833.0,4588.0,4344.0,4398.0,4369.0,4546.0,4597.0,4564.0,4565.0,4642.0,4523.0,4503.0,4539.333333333333
Alabama,15418.0,13364.0,13862.0,14559.0,13977.0,14352.0,14916.0,15500.0,16131.0,16539.0,16771.0,16898.0,15190.583333333334
