State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Average Participation
Connecticut,54818.0,52945.0,51828.0,52789.0,50406.0,51552.0,51676.0,52508.0,52251.0,53331.0,53244.0,53381.0,52560.75
Maine,23778.0,23274.0,22898.0,23027.0,22621.0,22803.0,22685.0,22689.0,22418.0,22514.0,22422.0,22428.0,22796.416666666668
Massachusetts,116966.0,119434.0,110813.0,114223.0,110983.0,110977.0,116991.0,114752.0,113590.0,117749.0,117008.0,117837.0,115110.25
New Hampshire,15265.0,14789.0,14659.0,14757.0,14571.0,14644.0,14809.0,14766.0,14641.0,14683.0,14592.0,14655.0,14735.916666666666
New York,506401.0,495399.0,486411.0,482821.0,478685.0,480950.0,480315.0,483685.0,484030.0,483748.0,481530.0,484343.0,485693.1666666667
Rhode Island,23223.0,22106.0,21859.0,22371.0,21934.0,21985.0,22050.0,22191.0,22110.0,21887.0,21860.0,22089.0,22138.75
Vermont,14508.0,14518.0,14412.0,14352.0,14240.0,14111.0,14116.0,14106.0,14081.0,14071.0,14024.0,14181.0,14226.666666666666
"Indian Township, ME",64.0,72.0,68.0,70.0,75.0,71.0,69.0,64.0,73.0,82.0,87.0,94.0,74.08333333333333
"Pleasant Point, ME",75.0,68.0,65.0,63.0,67.0,75.0,80.0,82.0,83.0,86.0,85.0,83.0,76
"Seneca Nation, NY",119.0,106.0,115.0,125.0,124.0,121.0,122.0,130.0,156.0,158.0,157.0,143.0,131.33333333333334
Delaware,20354.0,20240.0,19793.0,19659.0,19695.0,19609.0,19538.0,19663.0,19835.0,20021.0,20023.0,20044.0,19872.833333333332
District of Columbia,15633.0,15022.0,14567.0,14566.0,13993.0,13979.0,14090.0,14111.0,14385.0,14447.0,14568.0,14645.0,14500.5
Maryland,144796.0,141180.0,137553.0,137509.0,135994.0,136978.0,138731.0,139714.0,141064.0,142746.0,144043.0,145290.0,140466.5
New Jersey,166018.0,161716.0,160245.0,161756.0,159009.0,161113.0,160706.0,163565.0,163920.0,165638.0,165946.0,166958.0,163049.16666666666
Pennsylvania,256123.0,251615.0,247860.0,245792.0,240648.0,243131.0,246203.0,247776.0,249330.0,251198.0,252162.0,253294.0,248761
Puerto Rico,182081.0,172126.0,172523.0,169833.0,170083.0,176429.0,175404.0,172048.0,172924.0,172797.0,172668.0,173202.0,173509.83333333334
Virginia,155598.0,151549.0,147142.0,145780.0,143804.0,143789.0,142567.0,140729.0,138457.0,141324.0,142131.0,142301.0,144597.58333333334
Virgin Islands,4813.0,4600.0,4580.0,4619.0,4645.0,4688.0,4580.0,4688.0,4670.0,4616.0,4555.0,4592.0,4637.166666666667
West Virginia,45999.0,44827.0,43586.0,43380.0,42778.0,43360.0,43678.0,43721.0,43574.0,43570.0,43258.0,43419.0,43762.5
Alabama,137019.0,123325.0,128704.0,135111.0,128572.0,127943.0,128952.0,131081.0,131777.0,132852.0,133012.0,134207.0,131046.25
Florida,480110.0,467455.0,454651.0,453118.0,453469.0,455189.0,458251.0,462008.0,467901.0,475493.0,483799.0,489383.0,466735.5833333333
Georgia,281572.0,269953.0,268609.0,268805.0,262645.0,264726.0,266684.0,270089.0,272272.0,275392.0,277409.0,278836.0,271416
Kentucky,127965.0,124731.0,121517.0,118265.0,117419.0,119440.0,120274.0,121060.0,121241.0,122354.0,122791.0,123123.0,121681.66666666667
Mississippi,88042.0,84161.0,84501.0,84098.0,81385.0,84794.0,86604.0,87959.0,89683.0,90809.0,91974.0,92457.0,87205.58333333333
North Carolina,261852.0,257405.0,253277.0,253591.0,250698.0,253441.0,254057.0,254939.0,254906.0,255706.0,255581.0,255326.0,255064.91666666666
South Carolina,118494.0,114633.0,111581.0,110977.0,108197.0,108747.0,108623.0,110740.0,113252.0,116061.0,117703.0,119145.0,113179.41666666667
Tennessee,158869.0,154509.0,151360.0,152148.0,150337.0,150718.0,150975.0,152332.0,153888.0,155671.0,156765.0,157330.0,153741.83333333334
"Choctaw Indians, MS",832.0,805.0,745.0,792.0,691.0,711.0,715.0,707.0,767.0,786.0,837.0,816.0,767
"Eastern Cherokee, NC",632.0,615.0,546.0,528.0,556.0,612.0,632.0,639.0,596.0,628.0,640.0,658.0,606.8333333333334
Illinois,272688.0,265056.0,260311.0,261092.0,260339.0,264539.0,266243.0,267601.0,267133.0,269013.0,268211.0,268847.0,265922.75
Indiana,159953.0,155552.0,152482.0,151486.0,150213.0,151758.0,153038.0,154068.0,154651.0,158251.0,160790.0,161635.0,155323.08333333334
Michigan,255464.0,251586.0,246611.0,248152.0,245904.0,249889.0,250052.0,252737.0,253512.0,255688.0,255785.0,255217.0,251716.41666666666
Minnesota,124196.0,122122.0,119954.0,121311.0,119537.0,120365.0,121070.0,121996.0,121590.0,123009.0,122935.0,122976.0,121755.08333333333
Ohio,259242.0,254354.0,249317.0,248035.0,244799.0,244590.0,248213.0,248820.0,250679.0,251484.0,251988.0,252919.0,250370
Wisconsin,112204.0,110306.0,107781.0,107798.0,106046.0,106502.0,107757.0,108483.0,108661.0,110114.0,110241.0,110913.0,108900.5
Arkansas,83773.0,80680.0,79436.0,82284.0,80882.0,81907.0,84112.0,85563.0,85717.0,85706.0,85058.0,84345.0,83288.58333333333
Louisiana,138725.0,127816.0,125707.0,127249.0,126649.0,126964.0,129277.0,129661.0,131544.0,132667.0,133697.0,134827.0,130398.58333333333
New Mexico,56237.0,53766.0,53898.0,55281.0,54598.0,55243.0,55350.0,55334.0,55718.0,56105.0,54905.0,55648.0,55173.583333333336
Oklahoma,89106.0,85888.0,84295.0,87596.0,85933.0,85930.0,87226.0,88416.0,88894.0,90044.0,90281.0,91159.0,87897.33333333333
Texas,,,,,,,,,,,,, 
Texas,941272.0,924318.0,909840.0,916295.0,912252.0,910614.0,908616.0,909699.0,912662.0,915973.0,915718.0,920275.0,916461.1666666666
"Acoma, Canoncito & Laguna, NM",493.0,491.0,498.0,529.0,491.0,503.0,512.0,519.0,512.0,507.0,474.0,471.0,500
"Eight Northern Pueblos, NM",231.0,226.0,226.0,214.0,217.0,232.0,233.0,228.0,208.0,215.0,202.0,228.0,221.66666666666666
"Five Sandoval Pueblos, NM",261.0,261.0,262.0,263.0,266.0,265.0,259.0,256.0,254.0,263.0,248.0,255.0,259.4166666666667
"Isleta Pueblo, NM",980.0,974.0,972.0,1015.0,941.0,941.0,994.0,989.0,1008.0,982.0,962.0,997.0,979.5833333333334
