State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,29024.0,27358.0,27602.0,26929.0,25961.0,26607.0,26708.0,26644.0,26844.0,27293.0,27291.0,27356.0,27134.75
Maine,12261.0,12034.0,12030.0,11866.0,11689.0,11829.0,11836.0,11802.0,11657.0,11724.0,11613.0,11649.0,11832.5
Massachusetts,61640.0,62085.0,61319.0,60581.0,59349.0,60856.0,61554.0,61264.0,61516.0,62297.0,62659.0,63040.0,61513.333333333336
New Hampshire,7681.0,7592.0,7617.0,7502.0,7456.0,7666.0,7676.0,7827.0,7986.0,7969.0,7872.0,7896.0,7728.333333333333
New York,259103.0,254777.0,252062.0,248141.0,247080.0,247734.0,248690.0,249917.0,251776.0,251157.0,251799.0,251764.0,251166.66666666666
Rhode Island,11706.0,11405.0,11307.0,10947.0,10627.0,10577.0,10477.0,10391.0,10538.0,10644.0,10995.0,11206.0,10901.666666666666
Vermont,8545.0,8489.0,8470.0,8419.0,8293.0,8206.0,8091.0,8083.0,7990.0,8132.0,8124.0,8116.0,8246.5
"Indian Township, ME",49.0,52.0,57.0,54.0,54.0,53.0,52.0,48.0,47.0,45.0,50.0,48.0,50.75
"Pleasant Point, ME",46.0,44.0,41.0,45.0,43.0,44.0,44.0,43.0,45.0,37.0,38.0,36.0,42.166666666666664
"Seneca Nation, NY",66.0,72.0,70.0,68.0,67.0,68.0,69.0,62.0,65.0,69.0,72.0,71.0,68.25
Delaware,10249.0,10011.0,9845.0,9755.0,9555.0,9399.0,9316.0,9399.0,9462.0,9488.0,9441.0,9456.0,9614.666666666666
District of Columbia,6746.0,6707.0,6639.0,6656.0,6491.0,6450.0,6505.0,6430.0,6392.0,6325.0,6371.0,6417.0,6510.75
Maryland,76048.0,74940.0,74016.0,73799.0,73192.0,73833.0,74254.0,74275.0,74320.0,74233.0,74977.0,75099.0,74415.5
New Jersey,90942.0,88604.0,88279.0,87271.0,86313.0,86892.0,87262.0,87953.0,88097.0,88585.0,89123.0,88028.0,88112.41666666667
Pennsylvania,135552.0,128817.0,127702.0,125541.0,123562.0,122967.0,123727.0,124249.0,124857.0,125538.0,125821.0,125684.0,126168.08333333333
Puerto Rico,105198.0,102723.0,102730.0,102765.0,103204.0,103603.0,103533.0,102146.0,102776.0,102334.0,103085.0,103951.0,103170.66666666667
Virginia,70795.0,69873.0,68582.0,68665.0,66299.0,66925.0,67113.0,67575.0,67432.0,67892.0,68389.0,68619.0,68179.91666666667
Virgin Islands,2435.0,2453.0,2375.0,2385.0,2392.0,2351.0,2385.0,2338.0,2339.0,2320.0,2283.0,2302.0,2363.1666666666665
West Virginia,21953.0,21722.0,21398.0,21444.0,20652.0,20547.0,20317.0,20261.0,20408.0,20554.0,21004.0,21081.0,20945.083333333332
Alabama,67832.0,66395.0,65540.0,65342.0,62324.0,62353.0,61921.0,62948.0,63535.0,64172.0,65478.0,65856.0,64474.666666666664
Florida,251438.0,246103.0,241117.0,243453.0,240098.0,241890.0,240717.0,242499.0,243965.0,246831.0,249655.0,250721.0,244873.91666666666
Georgia,141324.0,137796.0,136656.0,133762.0,129551.0,128985.0,128368.0,128628.0,129895.0,130543.0,131305.0,131143.0,132329.66666666666
Kentucky,61777.0,59573.0,57780.0,57936.0,55848.0,56581.0,56500.0,57792.0,58356.0,58606.0,59599.0,59538.0,58323.833333333336
Mississippi,44218.0,43293.0,42133.0,41811.0,40153.0,39950.0,39863.0,40316.0,40755.0,40864.0,41530.0,41691.0,41381.416666666664
North Carolina,133149.0,130449.0,128947.0,129128.0,124035.0,127131.0,125711.0,126085.0,125729.0,126133.0,127092.0,127453.0,127586.83333333333
South Carolina,54422.0,53720.0,52647.0,52528.0,51492.0,50934.0,50551.0,50620.0,50928.0,50968.0,50892.0,50282.0,51665.333333333336
Tennessee,72413.0,71040.0,69489.0,68355.0,65974.0,65137.0,65018.0,65500.0,66472.0,66351.0,67967.0,68086.0,67650.16666666667
"Choctaw Indians, MS",477.0,449.0,402.0,407.0,343.0,368.0,401.0,386.0,463.0,429.0,456.0,476.0,421.4166666666667
"Eastern Cherokee, NC",376.0,348.0,349.0,341.0,322.0,369.0,356.0,353.0,329.0,339.0,348.0,359.0,349.0833333333333
Illinois,132797.0,129251.0,126988.0,123487.0,117360.0,118032.0,116959.0,116534.0,116097.0,114958.0,114531.0,113475.0,120039.08333333333
Indiana,83938.0,82385.0,81893.0,81325.0,78124.0,77563.0,76985.0,76189.0,75912.0,76476.0,77378.0,77744.0,78826
Michigan,134499.0,132630.0,130191.0,129769.0,128306.0,128864.0,128522.0,128786.0,128587.0,128576.0,128845.0,129009.0,129715.33333333333
Minnesota,67337.0,66439.0,66137.0,65839.0,63691.0,63996.0,63776.0,63944.0,64325.0,64933.0,65111.0,65167.0,65057.916666666664
Ohio,127314.0,125532.0,124268.0,122257.0,119437.0,118256.0,118411.0,117568.0,118731.0,117982.0,118024.0,117895.0,120472.91666666667
Wisconsin,59095.0,57613.0,56737.0,56817.0,55625.0,55593.0,55511.0,55604.0,56001.0,56172.0,56243.0,56238.0,56437.416666666664
Arkansas,37742.0,38333.0,38632.0,39583.0,38467.0,37829.0,38426.0,38413.0,39351.0,39409.0,39118.0,39098.0,38700.083333333336
Louisiana,62124.0,60513.0,59341.0,58162.0,57139.0,56893.0,56593.0,55673.0,56480.0,56987.0,58313.0,59187.0,58117.083333333336
New Mexico,28734.0,27632.0,27262.0,27125.0,26308.0,25934.0,26035.0,25929.0,26256.0,26314.0,26604.0,26454.0,26715.583333333332
Oklahoma,45855.0,44643.0,44054.0,44274.0,41946.0,41607.0,41506.0,41531.0,42179.0,42931.0,43478.0,43394.0,43116.5
Texas,,,,,,,,,,,,, 
Texas,451558.0,444274.0,435827.0,431562.0,426575.0,423508.0,422873.0,422613.0,425433.0,424330.0,426755.0,427595.0,430241.9166666667
"Acoma, Canoncito & Laguna, NM",262.0,274.0,266.0,260.0,247.0,239.0,226.0,244.0,230.0,266.0,236.0,254.0,250.33333333333334
"Eight Northern Pueblos, NM",130.0,127.0,132.0,128.0,136.0,128.0,138.0,133.0,133.0,136.0,137.0,144.0,133.5
"Five Sandoval Pueblos, NM",118.0,117.0,113.0,121.0,113.0,120.0,128.0,123.0,126.0,112.0,101.0,105.0,116.41666666666667
"Isleta Pueblo, NM",481.0,484.0,456.0,474.0,476.0,472.0,475.0,505.0,502.0,523.0,527.0,537.0,492.6666666666667
"San Felipe Pueblo, NM",156.0,146.0,153.0,154.0,135.0,161.0,143.0,159.0,160.0,174.0,147.0,167.0,154.58333333333334
"Santo Domingo Tribe, NM",102.0,98.0,98.0,99.0,104.0,103.0,108.0,103.0,100.0,99.0,96.0,103.0,101.08333333333333
"Zuni Pueblo, NM",452.0,401.0,428.0,428.0,448.0,426.0,439.0,447.0,451.0,432.0,444.0,419.0,434.5833333333333
"Cherokee Nation, OK",3759.0,3585.0,3505.0,3504.0,3293.0,3325.0,3406.0,3448.0,3518.0,3621.0,3764.0,3776.0,3542
"Chickasaw Nation, OK",2019.0,1936.0,1867.0,1848.0,1889.0,1927.0,1948.0,1931.0,1975.0,1980.0,1976.0,1960.0,1938
"Choctaw Nation, OK",2174.0,2153.0,2143.0,2100.0,2016.0,2077.0,2158.0,2178.0,2211.0,2236.0,2227.0,2277.0,2162.5
"Citizen Potawatomi Nation, OK",667.0,637.0,626.0,615.0,593.0,581.0,621.0,613.0,596.0,603.0,623.0,598.0,614.4166666666666
"Inter-Tribal Council, OK",496.0,484.0,479.0,478.0,475.0,489.0,486.0,474.0,485.0,478.0,481.0,485.0,482.5
"Muscogee Creek Nation, OK",1735.0,1627.0,1559.0,1627.0,1550.0,1564.0,1578.0,1612.0,1588.0,1616.0,1613.0,1664.0,1611.0833333333333
"Osage Tribal Council, OK",1299.0,1260.0,1220.0,1200.0,1134.0,1158.0,1138.0,1186.0,1214.0,1256.0,1304.0,1316.0,1223.75
"Otoe-Missouria Tribe, OK",261.0,261.0,254.0,252.0,238.0,258.0,265.0,267.0,262.0,269.0,260.0,277.0,260.3333333333333
"Wichita, Caddo & Delaware (WCD), OK",2216.0,2113.0,2112.0,2165.0,2100.0,2091.0,2113.0,2099.0,2088.0,2174.0,2134.0,2193.0,2133.1666666666665
Colorado,48295.0,47322.0,46823.0,46014.0,45677.0,46001.0,46158.0,45970.0,45973.0,46180.0,46461.0,46564.0,46453.166666666664
Iowa,33312.0,32601.0,32564.0,32425.0,31745.0,31700.0,31450.0,31604.0,31621.0,31707.0,32067.0,32124.0,32076.666666666668
Kansas,34179.0,32988.0,32592.0,32588.0,32376.0,32259.0,32067.0,32106.0,32319.0,31971.0,32066.0,32137.0,32470.666666666668
Missouri,66875.0,65897.0,65724.0,65986.0,64363.0,63615.0,63635.0,62797.0,62365.0,62142.0,62578.0,62599.0,64048
Montana,9855.0,9595.0,9441.0,9384.0,9261.0,9357.0,9316.0,9250.0,9300.0,9291.0,9455.0,9490.0,9416.25
Nebraska,21055.0,20073.0,19611.0,20042.0,18959.0,18743.0,18802.0,18274.0,18948.0,19115.0,19314.0,18802.0,19311.5
