State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,3463.0,3224.0,3297.0,3244.0,3253.0,3353.0,3343.0,3264.0,3331.0,3351.0,3363.0,3352.0,3319.8333333333335
Maine,589.0,551.0,571.0,546.0,527.0,547.0,538.0,557.0,537.0,583.0,571.0,578.0,557.9166666666666
Massachusetts,6063.0,5638.0,5634.0,5540.0,5404.0,5484.0,5488.0,5490.0,5451.0,5450.0,5373.0,5428.0,5536.916666666667
New Hampshire,342.0,333.0,348.0,351.0,329.0,352.0,347.0,353.0,351.0,386.0,369.0,430.0,357.5833333333333
New York,37885.0,36478.0,36136.0,35639.0,35578.0,35744.0,35542.0,35308.0,35492.0,35601.0,35813.0,35783.0,35916.583333333336
Rhode Island,618.0,603.0,658.0,638.0,613.0,608.0,575.0,595.0,614.0,654.0,649.0,667.0,624.3333333333334
Vermont,319.0,341.0,353.0,354.0,365.0,331.0,327.0,329.0,356.0,387.0,375.0,391.0,352.3333333333333
"Indian Township, ME",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pleasant Point, ME",3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,2.5833333333333335
"Seneca Nation, NY",9.0,8.0,6.0,7.0,4.0,5.0,4.0,6.0,5.0,8.0,10.0,7.0,6.583333333333333
Delaware,1265.0,1008.0,859.0,754.0,734.0,726.0,741.0,729.0,750.0,785.0,789.0,801.0,828.4166666666666
District of Columbia,1191.0,1230.0,1214.0,1243.0,1220.0,1228.0,1213.0,1250.0,1275.0,1305.0,1319.0,1306.0,1249.5
Maryland,8460.0,8230.0,8355.0,8459.0,8380.0,8518.0,8521.0,8476.0,8533.0,8586.0,8666.0,8750.0,8494.5
New Jersey,10716.0,10445.0,10635.0,10446.0,10401.0,10599.0,10552.0,10436.0,10444.0,10686.0,10809.0,10889.0,10588.166666666666
Pennsylvania,2584.0,3465.0,3465.0,3453.0,3450.0,3518.0,3545.0,3513.0,3529.0,3538.0,3593.0,3597.0,3437.5
Puerto Rico,3896.0,3467.0,3554.0,3396.0,3293.0,3356.0,3335.0,3267.0,3157.0,3260.0,3193.0,3435.0,3384.0833333333335
Virginia,4120.0,4041.0,4116.0,4063.0,4020.0,4153.0,4238.0,4230.0,4273.0,4239.0,4214.0,4185.0,4157.666666666667
Virgin Islands,560.0,519.0,524.0,540.0,547.0,535.0,535.0,526.0,529.0,520.0,505.0,522.0,530.1666666666666
West Virginia,943.0,927.0,920.0,841.0,735.0,687.0,696.0,705.0,692.0,674.0,709.0,718.0,770.5833333333334
Alabama,3243.0,3019.0,2947.0,2772.0,2597.0,2594.0,2469.0,2456.0,2443.0,2495.0,2477.0,2465.0,2664.75
