State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Average Participation
Connecticut,3067.0,3002.0,3069.0,3137.0,3024.0,3033.0,2925.0,2902.0,2844.0,2755.0,2777.0,2764.0,2941.5833333333335
Maine,1355.0,1398.0,1378.0,1398.0,1393.0,1405.0,1368.0,1348.0,1350.0,1351.0,1384.0,1361.0,1374.0833333333333
Massachusetts,8529.0,8569.0,8646.0,8601.0,8571.0,8716.0,8694.0,8618.0,8537.0,8418.0,8668.0,8532.0,8591.583333333334
New Hampshire,983.0,936.0,922.0,916.0,896.0,922.0,912.0,914.0,941.0,952.0,905.0,919.0,926.5
New York,46928.0,46602.0,46332.0,45949.0,45844.0,46204.0,45875.0,45794.0,45597.0,45053.0,45805.0,45892.0,45989.583333333336
Rhode Island,982.0,983.0,981.0,987.0,960.0,1009.0,1003.0,996.0,979.0,941.0,975.0,997.0,982.75
Vermont,1202.0,1184.0,1168.0,1181.0,1131.0,1076.0,1100.0,1089.0,1082.0,1068.0,1067.0,1069.0,1118.0833333333333
"Indian Township, ME",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8333333333333334
"Pleasant Point, ME",0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.75
"Seneca Nation, NY",16.0,13.0,15.0,10.0,10.0,9.0,12.0,11.0,15.0,16.0,17.0,17.0,13.416666666666666
Delaware,960.0,947.0,877.0,880.0,881.0,910.0,933.0,903.0,904.0,908.0,912.0,885.0,908.3333333333334
District of Columbia,1509.0,1568.0,1600.0,1566.0,1570.0,1619.0,1635.0,1579.0,1592.0,1585.0,1616.0,1642.0,1590.0833333333333
Maryland,11138.0,11163.0,11040.0,10984.0,11072.0,11143.0,11264.0,11230.0,11147.0,11050.0,11148.0,11154.0,11127.75
New Jersey,14117.0,13950.0,14011.0,13772.0,13797.0,13792.0,13624.0,13779.0,13900.0,13927.0,13990.0,14211.0,13905.833333333334
Pennsylvania,11209.0,11112.0,11089.0,10956.0,10911.0,10999.0,11024.0,11062.0,11064.0,10835.0,10971.0,10992.0,11018.666666666666
Puerto Rico,8288.0,8237.0,8247.0,8313.0,8223.0,8210.0,8222.0,8065.0,8271.0,8013.0,8423.0,8237.0,8229.083333333334
Virginia,7851.0,7674.0,7641.0,7206.0,7271.0,7461.0,7344.0,7399.0,7298.0,7258.0,7277.0,7248.0,7410.666666666667
Virgin Islands,530.0,550.0,528.0,523.0,556.0,551.0,543.0,539.0,528.0,512.0,513.0,502.0,531.25
West Virginia,1612.0,1546.0,1554.0,1529.0,1538.0,1576.0,1574.0,1552.0,1585.0,1596.0,1605.0,1697.0,1580.3333333333333
Alabama,3514.0,3476.0,3336.0,3372.0,3370.0,3458.0,3448.0,3485.0,3530.0,3541.0,3667.0,3719.0,3493
Florida,38731.0,38842.0,38891.0,39081.0,39067.0,39268.0,38880.0,38809.0,38471.0,38560.0,39082.0,39028.0,38892.5
Georgia,19447.0,19235.0,19102.0,19096.0,19043.0,19147.0,19049.0,19241.0,18882.0,18835.0,19051.0,18828.0,19079.666666666668
Kentucky,4721.0,4654.0,4567.0,4579.0,4604.0,4610.0,4577.0,4622.0,4689.0,4675.0,4843.0,4877.0,4668.166666666667
Mississippi,2754.0,2757.0,2596.0,2620.0,2689.0,2697.0,2708.0,2684.0,2701.0,2763.0,2807.0,2887.0,2721.9166666666665
North Carolina,18600.0,18520.0,18418.0,18320.0,17308.0,17387.0,17244.0,17428.0,17486.0,17607.0,18140.0,18101.0,17879.916666666668
South Carolina,6484.0,6456.0,6395.0,6299.0,6264.0,6260.0,6120.0,6027.0,5961.0,5995.0,6108.0,6125.0,6207.833333333333
Tennessee,9028.0,8959.0,8799.0,8664.0,8721.0,8766.0,8757.0,8760.0,8793.0,8776.0,9113.0,9091.0,8852.25
"Choctaw Indians, MS",10.0,7.0,10.0,9.0,10.0,9.0,11.0,10.0,13.0,13.0,16.0,16.0,11.166666666666666
"Eastern Cherokee, NC",46.0,46.0,39.0,41.0,35.0,38.0,38.0,42.0,34.0,37.0,38.0,34.0,39
Illinois,15884.0,15777.0,15585.0,15652.0,15655.0,15790.0,15600.0,15672.0,15560.0,15446.0,15817.0,16014.0,15704.333333333334
Indiana,7336.0,7234.0,7263.0,7329.0,7426.0,7453.0,7353.0,7342.0,7440.0,7702.0,8329.0,8932.0,7594.916666666667
Michigan,10675.0,10717.0,10508.0,10464.0,10350.0,10497.0,10483.0,10457.0,10352.0,10389.0,10536.0,10535.0,10496.916666666666
Minnesota,9749.0,9642.0,9572.0,9499.0,9507.0,9485.0,9411.0,9437.0,9529.0,9494.0,9641.0,9626.0,9549.333333333334
Ohio,14212.0,13596.0,15271.0,15133.0,14950.0,14947.0,14903.0,14972.0,15037.0,14926.0,15153.0,15369.0,14872.416666666666
Wisconsin,5718.0,5652.0,5478.0,5553.0,5533.0,5597.0,5608.0,5523.0,5479.0,5432.0,5550.0,5605.0,5560.666666666667
Arkansas,2997.0,2943.0,2944.0,2981.0,3014.0,3100.0,3150.0,3107.0,3092.0,3079.0,3131.0,3161.0,3058.25
Louisiana,3915.0,3938.0,3942.0,3866.0,3868.0,3838.0,3798.0,3733.0,3833.0,3750.0,3989.0,4085.0,3879.5833333333335
New Mexico,4667.0,4651.0,4637.0,4749.0,4662.0,4587.0,4517.0,4505.0,4650.0,4565.0,4690.0,4700.0,4631.666666666667
Oklahoma,4802.0,4700.0,4688.0,4679.0,4744.0,4886.0,4780.0,4818.0,4986.0,4979.0,5087.0,5073.0,4851.833333333333
Texas,,,,,,,,,,,,, 
Texas,108483.0,108860.0,108673.0,108305.0,108525.0,108970.0,108830.0,108379.0,108454.0,107848.0,107904.0,107883.0,108426.16666666667
"Acoma, Canoncito & Laguna, NM",42.0,38.0,32.0,38.0,35.0,39.0,36.0,43.0,34.0,42.0,35.0,39.0,37.75
"Eight Northern Pueblos, NM",11.0,14.0,14.0,12.0,13.0,15.0,17.0,15.0,14.0,13.0,10.0,11.0,13.25
"Five Sandoval Pueblos, NM",10.0,12.0,15.0,22.0,24.0,24.0,18.0,23.0,22.0,20.0,20.0,17.0,18.916666666666668
"Isleta Pueblo, NM",109.0,102.0,87.0,96.0,97.0,100.0,97.0,104.0,118.0,119.0,128.0,130.0,107.25
"San Felipe Pueblo, NM",28.0,31.0,27.0,23.0,31.0,32.0,34.0,32.0,30.0,29.0,28.0,25.0,29.166666666666668
"Santo Domingo Tribe, NM",15.0,16.0,18.0,18.0,15.0,18.0,18.0,13.0,12.0,12.0,15.0,18.0,15.666666666666666
"Zuni Pueblo, NM",71.0,64.0,76.0,70.0,75.0,67.0,71.0,70.0,68.0,67.0,70.0,62.0,69.25
"Cherokee Nation, OK",252.0,242.0,244.0,258.0,245.0,243.0,226.0,218.0,234.0,245.0,255.0,256.0,243.16666666666666
"Chickasaw Nation, OK",204.0,205.0,207.0,213.0,220.0,229.0,248.0,250.0,262.0,255.0,267.0,267.0,235.58333333333334
"Choctaw Nation, OK",148.0,158.0,149.0,160.0,168.0,166.0,162.0,177.0,172.0,188.0,190.0,176.0,167.83333333333334
"Citizen Potawatomi Nation, OK",69.0,69.0,69.0,80.0,68.0,64.0,66.0,57.0,62.0,67.0,67.0,76.0,67.83333333333333
"Inter-Tribal Council, OK",33.0,40.0,44.0,47.0,48.0,48.0,45.0,42.0,41.0,44.0,45.0,48.0,43.75
"Muscogee Creek Nation, OK",113.0,110.0,125.0,124.0,125.0,125.0,118.0,110.0,101.0,101.0,98.0,114.0,113.66666666666667
"Osage Tribal Council, OK",143.0,134.0,153.0,155.0,158.0,167.0,157.0,169.0,158.0,137.0,144.0,145.0,151.66666666666666
"Otoe-Missouria Tribe, OK",33.0,20.0,21.0,27.0,25.0,24.0,24.0,23.0,25.0,29.0,33.0,31.0,26.25
"Wichita, Caddo & Delaware (WCD), OK",164.0,163.0,171.0,181.0,184.0,180.0,172.0,170.0,188.0,195.0,207.0,196.0,180.91666666666666
Colorado,7040.0,6932.0,6828.0,6821.0,6849.0,6946.0,6829.0,6786.0,6780.0,6831.0,7085.0,7059.0,6898.833333333333
Iowa,3821.0,3742.0,3737.0,3770.0,3739.0,3705.0,3604.0,3632.0,3632.0,3576.0,3667.0,3812.0,3703.0833333333335
Kansas,3780.0,3766.0,3743.0,3763.0,3824.0,3789.0,3787.0,3745.0,3817.0,3734.0,3850.0,3801.0,3783.25
Missouri,7859.0,7760.0,7780.0,7752.0,7719.0,7707.0,7581.0,7507.0,7560.0,7482.0,7691.0,7830.0,7685.666666666667
Montana,1382.0,1399.0,1433.0,1450.0,1473.0,1492.0,1431.0,1442.0,1431.0,1416.0,1480.0,1525.0,1446.1666666666667
Nebraska,2418.0,2473.0,2534.0,2583.0,2557.0,2589.0,2581.0,2597.0,2667.0,2693.0,2793.0,2827.0,2609.3333333333335
North Dakota,732.0,701.0,705.0,714.0,729.0,754.0,759.0,783.0,788.0,803.0,818.0,826.0,759.3333333333334
South Dakota,1153.0,1168.0,1191.0,1240.0,1243.0,1236.0,1224.0,1202.0,1202.0,1170.0,1174.0,1135.0,1194.8333333333333
Utah,5566.0,5478.0,5373.0,5282.0,5360.0,5403.0,5297.0,5322.0,5321.0,5220.0,5312.0,5287.0,5351.75
Wyoming,808.0,792.0,814.0,796.0,841.0,825.0,801.0,819.0,829.0,816.0,796.0,780.0,809.75
"Ute Mountain Ute Tribe, CO",14.0,14.0,8.0,10.0,13.0,12.0,10.0,12.0,11.0,10.0,9.0,5.0,10.666666666666666
"Omaha Sioux, NE",1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.5
"Santee Sioux, NE",2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,6.0,2.8333333333333335
"Winnebago Tribe, NE",22.0,21.0,18.0,25.0,18.0,23.0,18.0,14.0,14.0,15.0,16.0,10.0,17.833333333333332
"Standing Rock Sioux Tribe, ND",15.0,14.0,17.0,18.0,17.0,19.0,19.0,15.0,13.0,7.0,10.0,11.0,14.583333333333334
"Three Affiliated Tribes, ND",5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,11.0,6.166666666666667
"Cheyenne River Sioux, SD",25.0,25.0,30.0,29.0,23.0,24.0,24.0,22.0,23.0,23.0,24.0,25.0,24.75
"Rosebud Sioux, SD",80.0,70.0,74.0,79.0,84.0,70.0,70.0,66.0,60.0,62.0,63.0,63.0,70.08333333333333
"Northern Arapahoe, WY",22.0,23.0,23.0,22.0,25.0,24.0,25.0,25.0,22.0,17.0,18.0,19.0,22.083333333333332
"Shoshone Tribe, WY",10.0,10.0,8.0,8.0,7.0,9.0,13.0,13.0,13.0,11.0,13.0,17.0,11
Mountain Plains,34755.0,34394.0,34322.0,34368.0,34529.0,34635.0,34084.0,34014.0,34197.0,33899.0,34834.0,35051.0,34423.5
Alaska,1896.0,1866.0,1820.0,1835.0,1842.0,1869.0,1911.0,1875.0,1900.0,1889.0,1899.0,1897.0,1874.9166666666667
American Samoa,534.0,527.0,524.0,520.0,535.0,539.0,529.0,532.0,532.0,517.0,508.0,495.0,524.3333333333334
