State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Average Participation
Connecticut,11047.0,10672.0,10783.0,10850.0,10510.0,10871.0,10638.0,10887.0,10992.0,10781.0,10890.0,10946.0,10822.25
Maine,4585.0,4561.0,4536.0,4589.0,4515.0,4585.0,4511.0,4442.0,4406.0,4401.0,4491.0,4414.0,4503
Massachusetts,25875.0,25592.0,25408.0,25546.0,25189.0,25728.0,25624.0,25635.0,25647.0,25354.0,25641.0,25612.0,25570.916666666668
New Hampshire,3249.0,3094.0,3107.0,3125.0,3086.0,3113.0,3019.0,3084.0,3080.0,3066.0,3007.0,3006.0,3086.3333333333335
New York,111305.0,109451.0,108592.0,107622.0,107367.0,108751.0,108530.0,108437.0,108414.0,106474.0,107567.0,107108.0,108301.5
Rhode Island,4566.0,4458.0,4483.0,4454.0,4299.0,4455.0,4384.0,4417.0,4455.0,4337.0,4390.0,4456.0,4429.5
Vermont,2833.0,2847.0,2828.0,2825.0,2734.0,2691.0,2710.0,2703.0,2718.0,2624.0,2583.0,2557.0,2721.0833333333335
"Indian Township, ME",10.0,9.0,6.0,7.0,8.0,8.0,7.0,8.0,11.0,11.0,10.0,9.0,8.666666666666666
"Pleasant Point, ME",10.0,7.0,11.0,8.0,9.0,9.0,10.0,10.0,14.0,13.0,13.0,12.0,10.5
"Seneca Nation, NY",53.0,55.0,53.0,47.0,43.0,43.0,44.0,46.0,48.0,54.0,53.0,53.0,49.333333333333336
Delaware,4342.0,4207.0,4194.0,4267.0,4190.0,4244.0,4288.0,4225.0,4089.0,4087.0,4172.0,4155.0,4205
District of Columbia,3797.0,3847.0,3843.0,3764.0,3744.0,3881.0,3928.0,3913.0,3853.0,3796.0,3869.0,3839.0,3839.5
Maryland,34107.0,33611.0,33235.0,32612.0,32892.0,33261.0,33334.0,33245.0,33386.0,32845.0,33011.0,32773.0,33192.666666666664
New Jersey,36936.0,36114.0,36010.0,35476.0,35423.0,35868.0,35550.0,35842.0,35881.0,35711.0,36106.0,35977.0,35907.833333333336
