Geographic Information,Unnamed: 1,Unnamed: 2,All Ages,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Age 0-17,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Age 5-17 in Families,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Median Household Income,Unnamed: 22,Unnamed: 23,Age 0-4,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,48810868,48554692,49067044,15.8,15.7,15.9,16086960,15948844,16225076,22.2,22,22.4,10958232,10860529,11055935,20.8,20.6,21,52250,52185,52315,4811689,4759374,4864004,24.8,24.5,25.1
01,AL,Alabama,889091,873141,905041,18.9,18.6,19.2,300649,291502,309796,27.4,26.6,28.2,205023,197115,212931,25.6,24.6,26.6,42882,42260,43504,92126,87734,96518,31.6,30.1,33.1
02,AK,Alaska,72643,69056,76230,10.1,9.6,10.6,25030,23088,26972,13.6,12.5,14.7,16118,14436,17800,12.5,11.2,13.8,70058,68425,71691,8148,7208,9088,14.9,13.2,16.6
04,AZ,Arizona,1206948,1184107,1229789,18.6,18.2,19,422435,409848,435022,26.6,25.8,27.4,289696,278496,300896,25,24,26,48504,47932,49076,122889,117153,128625,29.1,27.7,30.5
05,AR,Arkansas,557399,545273,569525,19.4,19,19.8,197129,190244,204014,28.3,27.3,29.3,132920,126907,138933,26.4,25.2,27.6,40605,39921,41289,60285,56772,63798,32.1,30.2,34
06,CA,California,6328064,6276939,6379189,16.8,16.7,16.9,2119056,2090844,2147268,23.5,23.2,23.8,1468727,1443932,1493522,22.5,22.1,22.9,60185,59931,60439,607880,594445,621315,24.8,24.3,25.3
08,CO,Colorado,665351,650221,680481,12.9,12.6,13.2,204866,196086,213646,16.8,16.1,17.5,139381,132201,146561,15.7,14.9,16.5,58942,58171,59713,60526,55762,65290,18.4,17,19.8
09,CT,Connecticut,373387,362267,384507,10.7,10.4,11,112225,106445,118005,14.5,13.8,15.2,77895,72926,82864,13.3,12.5,14.1,67262,66279,68245,31898,28844,34952,17,15.4,18.6
10,DE,Delaware,115774,109967,121581,12.9,12.3,13.5,38254,35546,40962,19.1,17.8,20.4,25169,22974,27364,17.5,16,19,58244,56730,59758,12212,10730,13694,22.1,19.4,24.8
11,DC,District of Columbia,115096,109640,120552,18.8,17.9,19.7,32071,28862,35280,29.3,26.4,32.2,20544,17799,23289,29.9,25.9,33.9,66326,64245,68407,10772,9289,12255,26.8,23.1,30.5
12,FL,Florida,3268130,3223891,3312369,17.1,16.9,17.3,982272,957786,1006758,24.8,24.2,25.4,678022,655790,700254,23.5,22.7,24.3,46021,45714,46328,287163,276992,297334,27.3,26.3,28.3
13,GA,Georgia,1849944,1823426,1876462,19,18.7,19.3,655194,638380,672008,26.7,26,27.4,445608,430771,460445,24.9,24.1,25.7,47765,47154,48376,200614,192856,208372,30.6,29.4,31.8
15,HI,Hawaii,153375,146661,160089,11.2,10.7,11.7,43574,40054,47094,14.4,13.2,15.6,29374,26298,32450,13.9,12.4,15.4,67798,66428,69168,12392,10726,14058,13.9,12,15.8
16,ID,Idaho,246708,237342,256074,15.6,15,16.2,81389,76313,86465,19.2,18,20.4,56633,52093,61173,18.3,16.8,19.8,46621,45745,47497,22764,20596,24932,20.3,18.4,22.2
17,IL,Illinois,1841996,1815888,1868104,14.6,14.4,14.8,613204,596994,629414,20.6,20.1,21.1,427235,412541,441929,19.6,18.9,20.3,56212,55814,56610,174886,167712,182060,22.4,21.5,23.3
18,IN,Indiana,1008411,990634,1026188,15.8,15.5,16.1,339807,329272,350342,21.9,21.2,22.6,226607,217617,235597,20,19.2,20.8,47508,47002,48014,105472,99881,111063,25.8,24.4,27.2
19,IA,Iowa,377037,367316,386758,12.6,12.3,12.9,114304,108740,119868,16,15.2,16.8,77634,72731,82537,15,14.1,15.9,52286,51764,52808,32564,29925,35203,17,15.6,18.4
20,KS,Kansas,391718,380565,402871,13.9,13.5,14.3,131251,124782,137720,18.4,17.5,19.3,84325,78956,89694,16.5,15.5,17.5,50892,50299,51485,43706,40107,47305,22.1,20.3,23.9
21,KY,Kentucky,803044,788501,817587,18.8,18.5,19.1,253390,244601,262179,25.5,24.6,26.4,171420,163807,179033,23.7,22.6,24.8,43307,42676,43938,77366,73276,81456,28.9,27.4,30.4
22,LA,Louisiana,897284,879370,915198,20,19.6,20.4,311059,300839,321279,28.4,27.5,29.3,212904,204048,221760,27,25.9,28.1,44234,43412,45056,93475,88651,98299,30.8,29.2,32.4
23,ME,Maine,181386,175125,187647,14,13.5,14.5,46645,43631,49659,18.2,17,19.4,31174,28699,33649,16.4,15.1,17.7,47095,46334,47856,13429,11842,15016,21.2,18.7,23.7
24,MD,Maryland,591457,576662,606252,10.2,9.9,10.5,184220,175183,193257,13.9,13.2,14.6,120049,112424,127674,12.5,11.7,13.3,72482,71789,73175,59367,54577,64157,16.5,15.2,17.8
25,MA,Massachusetts,770922,753652,788192,11.9,11.6,12.2,222666,214071,231261,16.2,15.6,16.8,153286,145725,160847,15.2,14.5,15.9,66794,66105,67483,63503,59623,67383,17.7,16.6,18.8
26,MI,Michigan,1646038,1625685,1666391,17,16.8,17.2,522365,511344,533386,23.7,23.2,24.2,351702,342580,360824,21.6,21,22.2,48200,47825,48575,159647,153689,165605,28.6,27.5,29.7
27,MN,Minnesota,592526,580125,604927,11.2,11,11.4,176274,169025,183523,14,13.4,14.6,119438,113415,125461,13.1,12.4,13.8,60664,60237,61091,52258,48524,55992,15.4,14.3,16.5
28,MS,Mississippi,692058,677339,706777,23.9,23.4,24.4,246458,238828,254088,34,32.9,35.1,170629,164008,177250,32.4,31.1,33.7,38191,37229,39153,72742,68984,76500,37.4,35.5,39.3
29,MO,Missouri,928778,910924,946632,15.8,15.5,16.1,303923,293926,313920,22.2,21.5,22.9,203216,194575,211857,20.5,19.6,21.4,46905,46483,47327,93553,88613,98493,25.5,24.2,26.8
30,MT,Montana,159248,153605,164891,16.1,15.5,16.7,45588,42894,48282,20.8,19.6,22,30655,28348,32962,19.3,17.8,20.8,46893,45853,47933,13782,12481,15083,23.3,21.1,25.5
31,NE,Nebraska,234742,227326,242158,12.9,12.5,13.3,77850,73190,82510,17.1,16.1,18.1,49030,45209,52851,15,13.8,16.2,51502,51017,51987,26764,24192,29336,20.9,18.9,22.9
32,NV,Nevada,433267,421242,445292,15.8,15.4,16.2,147638,140726,154550,22.7,21.6,23.8,99599,93685,105513,21.1,19.9,22.3,51250,50676,51824,44460,40950,47970,25.5,23.5,27.5
33,NH,New Hampshire,115146,108939,121353,9,8.5,9.5,29059,26173,31945,10.9,9.8,12,19714,17275,22153,9.9,8.7,11.1,64064,62869,65259,7871,6500,9242,12.3,10.2,14.4
34,NJ,New Jersey,995390,975579,1015201,11.4,11.2,11.6,329140,317565,340715,16.5,15.9,17.1,222992,213360,232624,15.2,14.5,15.9,70224,69689,70759,99706,93351,106061,19,17.8,20.2
35,NM,New Mexico,437923,427727,448119,21.4,20.9,21.9,151127,146034,156220,30.1,29.1,31.1,103790,99390,108190,28.5,27.3,29.7,44026,43134,44918,45301,42751,47851,33.2,31.3,35.1
36,NY,New York,3068230,3034387,3102073,16,15.8,16.2,956127,939500,972754,22.9,22.5,23.3,666555,651942,681168,22.2,21.7,22.7,57255,56828,57682,274044,266500,281588,23.9,23.2,24.6
37,NC,North Carolina,1711331,1687683,1734979,17.8,17.6,18,563572,549182,577962,25.1,24.5,25.7,386419,373418,399420,23.6,22.8,24.4,45946,45527,46365,166834,160770,172898,27.9,26.9,28.9
38,ND,North Dakota,81055,77449,84661,11.6,11.1,12.1,19962,18272,21652,12.4,11.3,13.5,12685,11411,13959,11.3,10.2,12.4,56800,55497,58103,6754,5689,7819,14.1,11.9,16.3
39,OH,Ohio,1793523,1767288,1819758,15.9,15.7,16.1,589871,573913,605829,22.7,22.1,23.3,398690,384850,412530,20.8,20.1,21.5,48138,47736,48540,179739,171962,187516,26.6,25.4,27.8
40,OK,Oklahoma,624209,613045,635373,16.7,16.4,17,221024,214399,227649,23.8,23.1,24.5,144867,139293,150441,21.7,20.9,22.5,45724,45201,46247,70699,67307,74091,27.6,26.3,28.9
41,OR,Oregon,637505,622246,652764,16.5,16.1,16.9,181281,173494,189068,21.6,20.7,22.5,118023,111476,124570,19.3,18.2,20.4,50228,49708,50748,56898,52750,61046,25.5,23.6,27.4
42,PA,Pennsylvania,1687854,1660532,1715176,13.7,13.5,13.9,513048,498164,527932,19.2,18.6,19.8,342181,329626,354736,17.5,16.9,18.1,52005,51751,52259,158010,150101,165919,22.6,21.5,23.7
